date,value1
2024-10-14T00:00,10.48
2024-10-14T08:00,9.95
2024-10-14T16:00,13.74
2024-10-15T00:00,16.96
2024-10-15T08:00,10.74
2024-10-15T16:00,10.33
2024-10-16T00:00,9.91
2024-10-16T08:00,9.77
2024-10-16T16:00,9.39
2024-10-17T00:00,11.42
2024-10-17T08:00,10.45
2024-10-17T16:00,10.45
2024-10-18T00:00,10.76
2024-10-18T08:00,9.71
2024-10-18T16:00,11.16
2024-10-19T00:00,10.48
2024-10-19T08:00,10.06
2024-10-19T16:00,11.34
2024-10-20T00:00,13.1
2024-10-20T08:00,10.84
2024-10-20T16:00,10.46
2024-10-21T00:00,12.87
2024-10-21T08:00,11.69
2024-10-21T16:00,12.26
2024-10-22T00:00,11.57
2024-10-22T08:00,11.57
2024-10-22T16:00,8.79
2024-10-23T00:00,9.19
2024-10-23T08:00,8.77
2024-10-23T16:00,8.86
2024-10-24T00:00,10.33
2024-10-24T08:00,11.29
2024-10-24T16:00,12.07
2024-10-25T00:00,10.93
2024-10-25T08:00,10.48
2024-10-25T16:00,0.11
2024-10-26T00:00,-5.56
2024-10-26T08:00,9.09
2024-10-26T16:00,3.25
2024-10-27T00:00,10.7
2024-10-27T08:00,10.06
2024-10-27T16:00,10.31
2024-10-28T00:00,5.41
2024-10-28T08:00,9.92
2024-10-28T16:00,11.36
2024-10-29T00:00,10.05
2024-10-29T08:00,12.02
2024-10-29T16:00,13.99
2024-10-30T00:00,11.97
2024-10-30T08:00,12.65
2024-10-30T16:00,13.84
2024-10-31T00:00,11.81
2024-10-31T08:00,11.18
2024-10-31T16:00,10.21
2024-11-01T00:00,10.5
2024-11-01T08:00,9.08
2024-11-01T16:00,9.52
2024-11-02T00:00,9.44
2024-11-02T08:00,9.74
2024-11-02T16:00,7.93
2024-11-03T00:00,4.3
2024-11-03T08:00,4.56
2024-11-03T16:00,8.7
2024-11-04T00:00,4.43
2024-11-04T08:00,2.69
2024-11-04T16:00,7.45
2024-11-05T00:00,7.83
2024-11-05T08:00,7.58
2024-11-05T16:00,5.84
2024-11-06T00:00,10.24
2024-11-06T08:00,10.55
2024-11-06T16:00,10.99
2024-11-07T00:00,11.97
2024-11-07T08:00,10.3
2024-11-07T16:00,10.54
2024-11-08T00:00,11.38
2024-11-08T08:00,10.79
2024-11-08T16:00,12.88
2024-11-09T00:00,13.52
2024-11-09T08:00,10.87
2024-11-09T16:00,13.83
2024-11-10T00:00,22.04
2024-11-10T08:00,36.06
2024-11-10T16:00,17.52
2024-11-11T00:00,21.47
2024-11-11T08:00,10.6
2024-11-11T16:00,64.75
2024-11-12T00:00,51.25
2024-11-12T08:00,60.01
2024-11-12T16:00,39.32
2024-11-13T00:00,19.25
2024-11-13T08:00,12.88
2024-11-13T16:00,26.45
2024-11-14T00:00,14.13
