date,value1
2025-02-11T00:00,-14.52
2025-02-11T08:00,-11.62
2025-02-11T16:00,-15.97
2025-02-12T00:00,-16.05
2025-02-12T08:00,-7.87
2025-02-12T16:00,-0.1
2025-02-13T00:00,-6.46
2025-02-13T08:00,-9.55
2025-02-13T16:00,-17.41
2025-02-14T00:00,-8.08
2025-02-14T08:00,-8.82
2025-02-14T16:00,-13.22
2025-02-15T00:00,-12.49
2025-02-15T08:00,-22.94
2025-02-15T16:00,-28.43
2025-02-16T00:00,-24.3
2025-02-16T08:00,-7.22
2025-02-16T16:00,-19.96
2025-02-17T00:00,-6.39
2025-02-17T08:00,-6.56
2025-02-17T16:00,-7.49
2025-02-18T00:00,-18.72
2025-02-18T08:00,2.8
2025-02-18T16:00,1.85
2025-02-19T00:00,5.42
2025-02-19T08:00,-4.75
2025-02-19T16:00,-6.03
2025-02-20T00:00,0.42
2025-02-20T08:00,4.26
2025-02-20T16:00,-1.5
2025-02-21T00:00,0.04
2025-02-21T08:00,4.34
2025-02-21T16:00,-30.32
2025-02-22T00:00,-10.08
2025-02-22T08:00,-12.57
2025-02-22T16:00,9.01
2025-02-23T00:00,14.87
2025-02-23T08:00,-5.98
2025-02-23T16:00,-3.49
2025-02-24T00:00,-5.92
2025-02-24T08:00,-17.08
2025-02-24T16:00,-14.67
2025-02-25T00:00,-16.13
2025-02-25T08:00,-14.56
2025-02-25T16:00,-14.48
2025-02-26T00:00,-4.24
2025-02-26T08:00,-4.79
2025-02-26T16:00,1.42
2025-02-27T00:00,7.73
2025-02-27T08:00,7.87
2025-02-27T16:00,0.37
2025-02-28T00:00,-25.76
2025-02-28T08:00,-14.3
2025-02-28T16:00,4.15
2025-03-01T00:00,1.38
2025-03-01T08:00,-10.7
2025-03-01T16:00,5.5
2025-03-02T00:00,2.99
2025-03-02T08:00,0.46
2025-03-02T16:00,6.72
2025-03-03T00:00,-1.16
2025-03-03T08:00,-13.89
2025-03-03T16:00,-34.05
2025-03-04T00:00,-21.07
2025-03-04T08:00,-20.65
2025-03-04T16:00,-13.41
2025-03-05T00:00,-4.13
2025-03-05T08:00,-23.6
2025-03-05T16:00,-3.42
2025-03-06T00:00,-11.59
2025-03-06T08:00,-6.41
2025-03-06T16:00,1.75
2025-03-07T00:00,-2.21
2025-03-07T08:00,2.55
2025-03-07T16:00,-0.44
2025-03-08T00:00,-7.97
2025-03-08T08:00,-16.14
2025-03-08T16:00,-24.48
2025-03-09T00:00,-28.95
2025-03-09T08:00,-20.48
2025-03-09T16:00,-38.44
2025-03-10T00:00,-29.62
2025-03-10T08:00,-14.06
2025-03-10T16:00,-32.65
2025-03-11T00:00,-30.17
2025-03-11T08:00,-26.99
2025-03-11T16:00,-18.72
2025-03-12T00:00,-11.12
2025-03-12T08:00,0.54
2025-03-12T16:00,6.24
2025-03-13T00:00,-14.49
2025-03-13T08:00,-0.91
2025-03-13T16:00,4.28
2025-03-14T00:00,-15.72
2025-03-14T08:00,-14.86
2025-03-14T16:00,-29.81
2025-03-15T00:00,-24.11
2025-03-15T08:00,-38.42
2025-03-15T16:00,-10.18
2025-03-16T00:00,-6.63
2025-03-16T08:00,-1.06
2025-03-16T16:00,-1.48
2025-03-17T00:00,-0.24
2025-03-17T08:00,-10.41
2025-03-17T16:00,-8.78
2025-03-18T00:00,1.65
2025-03-18T08:00,-7.84
2025-03-18T16:00,-8.19
2025-03-19T00:00,-18.24
2025-03-19T08:00,-16.16
2025-03-19T16:00,-1.17
2025-03-20T00:00,-23.02
2025-03-20T08:00,-0.83
2025-03-20T16:00,-0.72
2025-03-21T00:00,-15.2
2025-03-21T08:00,-13.18
2025-03-21T16:00,-11.18
2025-03-22T00:00,7.82
2025-03-22T08:00,-1.44
2025-03-22T16:00,-9.0
2025-03-23T00:00,-12.84
2025-03-23T08:00,-21.54
2025-03-23T16:00,-16.61
2025-03-24T00:00,-0.41
2025-03-24T08:00,-2.0
2025-03-24T16:00,0.65
2025-03-25T00:00,6.81
2025-03-25T08:00,3.93
2025-03-25T16:00,6.33
2025-03-26T00:00,-7.5
2025-03-26T08:00,-3.8
2025-03-26T16:00,5.46
2025-03-27T00:00,-4.89
2025-03-27T08:00,-7.22
2025-03-27T16:00,-17.29
2025-03-28T00:00,-10.63
2025-03-28T08:00,-1.21
2025-03-28T16:00,-8.63
2025-03-29T00:00,-2.8
2025-03-29T08:00,2.28
2025-03-29T16:00,6.14
2025-03-30T00:00,-1.55
2025-03-30T08:00,-1.53
2025-03-30T16:00,1.21
2025-03-31T00:00,-0.05
2025-03-31T08:00,-6.08
2025-03-31T16:00,-7.29
2025-04-01T00:00,7.84
2025-04-01T08:00,5.35
2025-04-01T16:00,0.92
2025-04-02T00:00,-1.37
2025-04-02T08:00,-0.4
2025-04-02T16:00,-0.4
2025-04-03T00:00,2.5
2025-04-03T08:00,4.5
2025-04-03T16:00,-9.18
2025-04-04T00:00,-9.26
2025-04-04T08:00,2.84
2025-04-04T16:00,4.9
2025-04-05T00:00,7.42
2025-04-05T08:00,-3.88
2025-04-05T16:00,7.61
2025-04-06T00:00,6.92
2025-04-06T08:00,7.3
2025-04-06T16:00,0.5
2025-04-07T00:00,-1.0
2025-04-07T08:00,-3.12
2025-04-07T16:00,2.91
2025-04-08T00:00,-35.26
2025-04-08T08:00,-16.14
2025-04-08T16:00,-20.89
2025-04-09T00:00,-8.33
2025-04-09T08:00,-3.21
2025-04-09T16:00,7.76
2025-04-10T00:00,-0.4
2025-04-10T08:00,-0.43
2025-04-10T16:00,3.15
2025-04-11T00:00,0.35
2025-04-11T08:00,-17.79
2025-04-11T16:00,-12.08
2025-04-12T00:00,-12.13
2025-04-12T08:00,-17.51
2025-04-12T16:00,0.9
2025-04-13T00:00,0.92
2025-04-13T08:00,-13.99
2025-04-13T16:00,-33.87
2025-04-14T00:00,-25.56
2025-04-14T08:00,-8.54
2025-04-14T16:00,-15.87
2025-04-15T00:00,-29.26
2025-04-15T08:00,-10.95
2025-04-15T16:00,-12.79
2025-04-16T00:00,-15.23
2025-04-16T08:00,-20.76
2025-04-16T16:00,-14.04
2025-04-17T00:00,-6.47
2025-04-17T08:00,-9.74
2025-04-17T16:00,-23.73
2025-04-18T00:00,-10.4
2025-04-18T08:00,-4.11
2025-04-18T16:00,-10.23
2025-04-19T00:00,-8.95
2025-04-19T08:00,-30.09
2025-04-19T16:00,2.89
2025-04-20T00:00,1.15
2025-04-20T08:00,-16.04
2025-04-20T16:00,-8.81
2025-04-21T00:00,5.97
2025-04-21T08:00,6.05
2025-04-21T16:00,-33.02
2025-04-22T00:00,-38.11
2025-04-22T08:00,-16.29
2025-04-22T16:00,3.87
2025-04-23T00:00,-2.47
2025-04-23T08:00,6.45
2025-04-23T16:00,7.58
2025-04-24T00:00,7.95
2025-04-24T08:00,1.36
2025-04-24T16:00,3.84
2025-04-25T00:00,0.17
2025-04-25T08:00,-20.82
2025-04-25T16:00,1.9
2025-04-26T00:00,2.16
2025-04-26T08:00,-7.16
2025-04-26T16:00,-4.12
2025-04-27T00:00,-12.48
2025-04-27T08:00,-6.42
2025-04-27T16:00,-1.17
2025-04-28T00:00,6.47
2025-04-28T08:00,1.72
2025-04-28T16:00,7.24
2025-04-29T00:00,5.6
2025-04-29T08:00,1.29
2025-04-29T16:00,-4.88
2025-04-30T00:00,3.22
2025-04-30T08:00,-2.2
2025-04-30T16:00,-8.16
2025-05-01T00:00,-11.65
2025-05-01T08:00,-12.48
2025-05-01T16:00,7.35
2025-05-02T00:00,8.1
2025-05-02T08:00,2.3
2025-05-02T16:00,3.36
2025-05-03T00:00,-1.22
2025-05-03T08:00,-11.37
2025-05-03T16:00,-13.63
2025-05-04T00:00,0.49
2025-05-04T08:00,-12.33
2025-05-04T16:00,-22.69
2025-05-05T00:00,-9.53
2025-05-05T08:00,-26.11
2025-05-05T16:00,-7.48
2025-05-06T00:00,-17.09
2025-05-06T08:00,-1.04
2025-05-06T16:00,-19.04
2025-05-07T00:00,-28.12
2025-05-07T08:00,-30.34
2025-05-07T16:00,-6.72
2025-05-08T00:00,4.34
2025-05-08T08:00,5.43
2025-05-08T16:00,8.51
2025-05-09T00:00,9.63
2025-05-09T08:00,9.29
2025-05-09T16:00,8.22
2025-05-10T00:00,9.66
2025-05-10T08:00,6.84
2025-05-10T16:00,5.96
2025-05-11T00:00,9.7
2025-05-11T08:00,2.91
2025-05-11T16:00,-2.96
2025-05-12T00:00,6.94
2025-05-12T08:00,5.39
2025-05-12T16:00,8.96
2025-05-13T00:00,9.64
2025-05-13T08:00,9.7
2025-05-13T16:00,9.42
2025-05-14T00:00,9.0
2025-05-14T08:00,5.09
2025-05-14T16:00,8.98
2025-05-15T00:00,6.84
2025-05-15T08:00,1.78
2025-05-15T16:00,2.0
2025-05-16T00:00,5.96
2025-05-16T08:00,3.27
2025-05-16T16:00,-0.43
2025-05-17T00:00,-2.27
2025-05-17T08:00,-11.76
2025-05-17T16:00,-3.8
2025-05-18T00:00,4.23
2025-05-18T08:00,0.27
2025-05-18T16:00,1.96
2025-05-19T00:00,-13.5
2025-05-19T08:00,4.81
2025-05-19T16:00,5.79
2025-05-20T00:00,2.38
2025-05-20T08:00,1.02
2025-05-20T16:00,8.14
2025-05-21T00:00,9.08
2025-05-21T08:00,3.92
2025-05-21T16:00,7.56
2025-05-22T00:00,9.12
2025-05-22T08:00,7.14
2025-05-22T16:00,6.78
2025-05-23T00:00,9.0
2025-05-23T08:00,8.23
2025-05-23T16:00,6.14
2025-05-24T00:00,0.22
2025-05-24T08:00,-10.86
2025-05-24T16:00,1.48
2025-05-25T00:00,2.56
2025-05-25T08:00,-3.24
2025-05-25T16:00,-1.41
2025-05-26T00:00,5.21
2025-05-26T08:00,-0.24
2025-05-26T16:00,-0.32
2025-05-27T00:00,4.78
2025-05-27T08:00,8.22
2025-05-27T16:00,10.5
2025-05-28T00:00,5.43
2025-05-28T08:00,6.61
2025-05-28T16:00,11.84
2025-05-29T00:00,10.14
2025-05-29T08:00,9.16
2025-05-29T16:00,1.51
2025-05-30T00:00,-12.21
2025-05-30T08:00,5.41
2025-05-30T16:00,1.25
2025-05-31T00:00,-4.24
2025-05-31T08:00,-4.5
2025-05-31T16:00,-10.83
2025-06-01T00:00,0.59
2025-06-01T08:00,-2.6
2025-06-01T16:00,3.94
2025-06-02T00:00,2.98
2025-06-02T08:00,1.27
2025-06-02T16:00,8.64
2025-06-03T00:00,6.75
2025-06-03T08:00,8.26
2025-06-03T16:00,3.26
2025-06-04T00:00,6.57
2025-06-04T08:00,-1.22
2025-06-04T16:00,-4.21
2025-06-05T00:00,-1.4
2025-06-05T08:00,0.99
2025-06-05T16:00,-15.56
2025-06-06T00:00,-3.94
2025-06-06T08:00,-9.83
2025-06-06T16:00,-10.38
2025-06-07T00:00,5.27
2025-06-07T08:00,-1.82
2025-06-07T16:00,5.37
2025-06-08T00:00,-0.03
2025-06-08T08:00,1.69
2025-06-08T16:00,-1.79
2025-06-09T00:00,-5.14
2025-06-09T08:00,0.26
2025-06-09T16:00,7.28
2025-06-10T00:00,9.76
2025-06-10T08:00,6.55
2025-06-10T16:00,8.57
2025-06-11T00:00,8.07
2025-06-11T08:00,3.84
2025-06-11T16:00,6.54
2025-06-12T00:00,-3.2
2025-06-12T08:00,-8.2
2025-06-12T16:00,-10.58
2025-06-13T00:00,-28.22
2025-06-13T08:00,-17.52
2025-06-13T16:00,-8.55
2025-06-14T00:00,-8.89
2025-06-14T08:00,-24.73
2025-06-14T16:00,-0.63
2025-06-15T00:00,-8.77
2025-06-15T08:00,-12.95
2025-06-15T16:00,-6.56
2025-06-16T00:00,0.53
2025-06-16T08:00,1.56
2025-06-16T16:00,0.7
2025-06-17T00:00,1.76
2025-06-17T08:00,-4.64
2025-06-17T16:00,-8.94
2025-06-18T00:00,-8.9
2025-06-18T08:00,-25.16
2025-06-18T16:00,-15.54
2025-06-19T00:00,1.89
2025-06-19T08:00,-0.75
2025-06-19T16:00,-8.04
2025-06-20T00:00,3.56
2025-06-20T08:00,-7.68
2025-06-20T16:00,-18.94
2025-06-21T00:00,-14.03
2025-06-21T08:00,-12.6
2025-06-21T16:00,-31.22
2025-06-22T00:00,-32.97
2025-06-22T08:00,-33.68
2025-06-22T16:00,-33.23
2025-06-23T00:00,-24.04
2025-06-23T08:00,-11.52
2025-06-23T16:00,2.06
2025-06-24T00:00,-1.53
2025-06-24T08:00,-26.98
2025-06-24T16:00,-2.02
2025-06-25T00:00,-4.99
2025-06-25T08:00,-13.93
2025-06-25T16:00,-13.77
2025-06-26T00:00,-14.54
2025-06-26T08:00,-24.0
2025-06-26T16:00,-26.34
2025-06-27T00:00,-17.32
2025-06-27T08:00,-12.09
2025-06-27T16:00,-5.95
2025-06-28T00:00,-13.56
2025-06-28T08:00,-39.06
2025-06-28T16:00,-3.04
2025-06-29T00:00,-4.44
2025-06-29T08:00,-13.65
2025-06-29T16:00,4.32
2025-06-30T00:00,7.29
2025-06-30T08:00,-6.31
2025-06-30T16:00,-10.47
2025-07-01T00:00,-11.9
2025-07-01T08:00,-20.11
2025-07-01T16:00,-21.94
2025-07-02T00:00,-5.83
2025-07-02T08:00,-0.89
2025-07-02T16:00,5.47
2025-07-03T00:00,6.74
2025-07-03T08:00,-0.28
2025-07-03T16:00,-7.08
2025-07-04T00:00,-7.41
2025-07-04T08:00,-18.62
2025-07-04T16:00,-21.04
2025-07-05T00:00,-14.99
2025-07-05T08:00,-22.6
2025-07-05T16:00,-12.76
2025-07-06T00:00,-11.78
2025-07-06T08:00,-3.83
2025-07-06T16:00,0.53
2025-07-07T00:00,9.06
2025-07-07T08:00,-2.6
2025-07-07T16:00,-7.41
2025-07-08T00:00,-12.96
2025-07-08T08:00,-18.1
2025-07-08T16:00,3.5
2025-07-09T00:00,6.04
2025-07-09T08:00,5.83
2025-07-09T16:00,4.94
2025-07-10T00:00,5.18
2025-07-10T08:00,-1.17
2025-07-10T16:00,1.36
2025-07-11T00:00,8.54
2025-07-11T08:00,10.82
2025-07-11T16:00,3.88
2025-07-12T00:00,10.3
2025-07-12T08:00,4.7
2025-07-12T16:00,5.08
2025-07-13T00:00,8.73
2025-07-13T08:00,9.18
2025-07-13T16:00,7.0
2025-07-14T00:00,10.3
2025-07-14T08:00,9.71
2025-07-14T16:00,9.38
