date,value1
2024-10-14T00:00,8.46
2024-10-14T08:00,-3.57
2024-10-14T16:00,-7.5
2024-10-15T00:00,6.2
2024-10-15T08:00,-8.37
2024-10-15T16:00,-10.61
2024-10-16T00:00,-13.83
2024-10-16T08:00,2.1
2024-10-16T16:00,7.47
2024-10-17T00:00,5.45
2024-10-17T08:00,3.99
2024-10-17T16:00,-0.19
2024-10-18T00:00,6.21
2024-10-18T08:00,2.34
2024-10-18T16:00,8.2
2024-10-19T00:00,9.87
2024-10-19T08:00,10.73
2024-10-19T16:00,9.98
2024-10-20T00:00,8.85
2024-10-20T08:00,9.98
2024-10-20T16:00,11.55
2024-10-21T00:00,14.65
2024-10-21T08:00,11.27
2024-10-21T16:00,-4.25
2024-10-22T00:00,9.97
2024-10-22T08:00,3.77
2024-10-22T16:00,9.24
2024-10-23T00:00,2.25
2024-10-23T08:00,-11.84
2024-10-23T16:00,3.91
2024-10-24T00:00,7.07
2024-10-24T08:00,10.51
2024-10-24T16:00,9.97
2024-10-25T00:00,-6.68
2024-10-25T08:00,0.69
2024-10-25T16:00,-12.84
2024-10-26T00:00,-23.48
2024-10-26T08:00,-6.23
2024-10-26T16:00,-7.68
2024-10-27T00:00,-18.23
2024-10-27T08:00,-6.3
2024-10-27T16:00,-3.47
2024-10-28T00:00,-7.85
2024-10-28T08:00,-3.74
2024-10-28T16:00,7.16
2024-10-29T00:00,7.91
2024-10-29T08:00,8.22
2024-10-29T16:00,9.69
2024-10-30T00:00,10.72
2024-10-30T08:00,8.79
2024-10-30T16:00,9.29
2024-10-31T00:00,-6.66
2024-10-31T08:00,-15.33
2024-10-31T16:00,-34.13
2024-11-01T00:00,0.93
2024-11-01T08:00,-10.11
2024-11-01T16:00,-0.47
2024-11-02T00:00,2.56
2024-11-02T08:00,-24.21
2024-11-02T16:00,-31.36
2024-11-03T00:00,-19.28
2024-11-03T08:00,-10.62
2024-11-03T16:00,-19.91
2024-11-04T00:00,-26.47
2024-11-04T08:00,-6.79
2024-11-04T16:00,-2.23
2024-11-05T00:00,-1.31
2024-11-05T08:00,-0.81
2024-11-05T16:00,2.32
2024-11-06T00:00,11.13
2024-11-06T08:00,10.59
2024-11-06T16:00,10.12
2024-11-07T00:00,15.51
2024-11-07T08:00,10.86
2024-11-07T16:00,11.42
2024-11-08T00:00,13.26
2024-11-08T08:00,12.59
2024-11-08T16:00,9.73
2024-11-09T00:00,10.09
2024-11-09T08:00,10.59
2024-11-09T16:00,12.89
2024-11-10T00:00,32.42
2024-11-10T08:00,18.76
2024-11-10T16:00,15.7
2024-11-11T00:00,19.3
2024-11-11T08:00,13.07
2024-11-11T16:00,33.2
2024-11-12T00:00,46.55
2024-11-12T08:00,64.81
2024-11-12T16:00,23.36
2024-11-13T00:00,12.99
2024-11-13T08:00,11.09
2024-11-13T16:00,13.12
2024-11-14T00:00,11.95
2024-11-14T08:00,8.95
2024-11-14T16:00,10.38
2024-11-15T00:00,10.18
2024-11-15T08:00,10.79
2024-11-15T16:00,11.96
2024-11-16T00:00,12.35
2024-11-16T08:00,17.01
2024-11-16T16:00,19.84
2024-11-17T00:00,12.28
2024-11-17T08:00,25.55
2024-11-17T16:00,11.96
2024-11-18T00:00,16.17
2024-11-18T08:00,11.57
2024-11-18T16:00,26.98
2024-11-19T00:00,31.26
2024-11-19T08:00,18.52
2024-11-19T16:00,11.99
2024-11-20T00:00,10.99
2024-11-20T08:00,12.11
2024-11-20T16:00,9.21
2024-11-21T00:00,9.92
2024-11-21T08:00,14.17
2024-11-21T16:00,47.76
2024-11-22T00:00,28.52
2024-11-22T08:00,30.66
2024-11-22T16:00,20.63
2024-11-23T00:00,36.76
2024-11-23T08:00,39.95
2024-11-23T16:00,21.44
2024-11-24T00:00,37.26
2024-11-24T08:00,18.62
2024-11-24T16:00,11.86
2024-11-25T00:00,19.96
2024-11-25T08:00,31.47
2024-11-25T16:00,17.45
2024-11-26T00:00,11.65
2024-11-26T08:00,10.37
2024-11-26T16:00,14.36
2024-11-27T00:00,11.72
2024-11-27T08:00,10.94
2024-11-27T16:00,10.95
2024-11-28T00:00,10.97
2024-11-28T08:00,10.34
2024-11-28T16:00,11.84
2024-11-29T00:00,21.16
2024-11-29T08:00,18.54
2024-11-29T16:00,22.83
2024-11-30T00:00,26.05
2024-11-30T08:00,32.87
2024-11-30T16:00,26.38
2024-12-01T00:00,14.99
2024-12-01T08:00,10.35
2024-12-01T16:00,50.65
2024-12-02T00:00,19.59
2024-12-02T08:00,29.14
2024-12-02T16:00,28.79
2024-12-03T00:00,61.94
2024-12-03T08:00,36.95
2024-12-03T16:00,29.56
2024-12-04T00:00,52.29
2024-12-04T08:00,52.43
2024-12-04T16:00,45.68
2024-12-05T00:00,54.51
2024-12-05T08:00,64.26
2024-12-05T16:00,26.48
2024-12-06T00:00,54.38
2024-12-06T08:00,23.17
2024-12-06T16:00,58.33
2024-12-07T00:00,47.32
2024-12-07T08:00,48.19
2024-12-07T16:00,43.88
2024-12-08T00:00,15.47
2024-12-08T08:00,36.91
2024-12-08T16:00,53.7
2024-12-09T00:00,21.16
2024-12-09T08:00,11.4
2024-12-09T16:00,8.26
2024-12-10T00:00,7.81
2024-12-10T08:00,7.79
2024-12-10T16:00,8.81
2024-12-11T00:00,9.31
2024-12-11T08:00,10.27
2024-12-11T16:00,10.63
2024-12-12T00:00,11.15
2024-12-12T08:00,11.76
2024-12-12T16:00,11.54
2024-12-13T00:00,11.69
2024-12-13T08:00,9.91
2024-12-13T16:00,10.59
2024-12-14T00:00,12.97
2024-12-14T08:00,10.25
2024-12-14T16:00,9.61
2024-12-15T00:00,10.13
2024-12-15T08:00,7.88
2024-12-15T16:00,10.78
2024-12-16T00:00,10.01
2024-12-16T08:00,10.43
2024-12-16T16:00,11.73
2024-12-17T00:00,10.39
2024-12-17T08:00,11.06
2024-12-17T16:00,9.29
2024-12-18T00:00,9.52
2024-12-18T08:00,9.42
2024-12-18T16:00,8.23
2024-12-19T00:00,3.32
2024-12-19T08:00,3.58
2024-12-19T16:00,3.46
2024-12-20T00:00,9.43
2024-12-20T08:00,-10.77
2024-12-20T16:00,6.05
2024-12-21T00:00,5.41
2024-12-21T08:00,8.36
2024-12-21T16:00,7.27
2024-12-22T00:00,9.11
2024-12-22T08:00,4.32
2024-12-22T16:00,9.08
2024-12-23T00:00,6.3
2024-12-23T08:00,-1.09
2024-12-23T16:00,8.79
2024-12-24T00:00,3.53
2024-12-24T08:00,-1.5
2024-12-24T16:00,2.59
2024-12-25T00:00,6.53
2024-12-25T08:00,0.05
2024-12-25T16:00,2.06
2024-12-26T00:00,9.06
2024-12-26T08:00,4.22
2024-12-26T16:00,5.21
2024-12-27T00:00,0.27
2024-12-27T08:00,-4.46
2024-12-27T16:00,8.44
2024-12-28T00:00,5.06
2024-12-28T08:00,3.14
2024-12-28T16:00,8.19
2024-12-29T00:00,8.91
2024-12-29T08:00,5.66
2024-12-29T16:00,2.29
2024-12-30T00:00,8.68
2024-12-30T08:00,9.94
2024-12-30T16:00,8.65
2024-12-31T00:00,0.55
2024-12-31T08:00,9.29
2024-12-31T16:00,9.72
2025-01-01T00:00,6.55
2025-01-01T08:00,7.66
2025-01-01T16:00,10.41
2025-01-02T00:00,11.1
2025-01-02T08:00,11.09
