date,value1
2025-01-28T08:00,-20.09
2025-01-28T16:00,-49.33
2025-01-29T00:00,-42.06
2025-01-29T08:00,-41.76
2025-01-29T16:00,-23.95
2025-01-30T00:00,-1.12
2025-01-30T08:00,8.15
2025-01-30T16:00,5.78
2025-01-31T00:00,-3.86
2025-01-31T08:00,-7.94
2025-01-31T16:00,-3.75
2025-02-01T00:00,-16.82
2025-02-01T08:00,-18.02
2025-02-01T16:00,-42.89
2025-02-02T00:00,-23.17
2025-02-02T08:00,-24.67
2025-02-02T16:00,-43.29
2025-02-03T00:00,-77.56
2025-02-03T08:00,-72.99
2025-02-03T16:00,-27.99
2025-02-04T00:00,-60.81
2025-02-04T08:00,-44.45
2025-02-04T16:00,-11.04
2025-02-05T00:00,-31.66
2025-02-05T08:00,-39.3
2025-02-05T16:00,-41.48
2025-02-06T00:00,-51.47
2025-02-06T08:00,-69.8
2025-02-06T16:00,-63.76
2025-02-07T00:00,-65.17
2025-02-07T08:00,-36.02
2025-02-07T16:00,-53.36
2025-02-08T00:00,-23.12
2025-02-08T08:00,-42.22
2025-02-08T16:00,-7.67
2025-02-09T00:00,-41.65
2025-02-09T08:00,-29.17
2025-02-09T16:00,-40.95
2025-02-10T00:00,-38.12
2025-02-10T08:00,-29.04
2025-02-10T16:00,-29.61
2025-02-11T00:00,-21.01
2025-02-11T08:00,-23.23
2025-02-11T16:00,-32.42
2025-02-12T00:00,-40.96
2025-02-12T08:00,-7.61
2025-02-12T16:00,-31.43
2025-02-13T00:00,-24.94
2025-02-13T08:00,-24.42
2025-02-13T16:00,-29.12
2025-02-14T00:00,-0.74
2025-02-14T08:00,0.2
2025-02-14T16:00,-5.79
2025-02-15T00:00,-33.86
2025-02-15T08:00,-40.03
2025-02-15T16:00,-46.1
2025-02-16T00:00,-38.42
2025-02-16T08:00,-18.16
2025-02-16T16:00,-29.31
2025-02-17T00:00,-22.55
2025-02-17T08:00,-6.08
2025-02-17T16:00,-4.15
2025-02-18T00:00,-16.21
2025-02-18T08:00,-33.14
2025-02-18T16:00,-0.21
2025-02-19T00:00,-5.06
2025-02-19T08:00,-26.23
2025-02-19T16:00,-3.41
2025-02-20T00:00,-21.84
2025-02-20T08:00,-14.37
2025-02-20T16:00,-5.33
2025-02-21T00:00,-6.85
2025-02-21T08:00,-18.21
2025-02-21T16:00,-35.84
2025-02-22T00:00,-30.26
2025-02-22T08:00,-22.03
2025-02-22T16:00,-1.9
2025-02-23T00:00,-8.13
2025-02-23T08:00,-36.61
2025-02-23T16:00,-19.55
2025-02-24T00:00,-35.55
2025-02-24T08:00,-29.3
2025-02-24T16:00,-34.02
2025-02-25T00:00,-20.19
2025-02-25T08:00,5.89
2025-02-25T16:00,1.03
2025-02-26T00:00,-10.15
2025-02-26T08:00,-15.51
2025-02-26T16:00,3.79
2025-02-27T00:00,4.2
2025-02-27T08:00,8.75
2025-02-27T16:00,7.54
2025-02-28T00:00,-35.1
2025-02-28T08:00,-17.31
2025-02-28T16:00,-11.72
2025-03-01T00:00,8.2
2025-03-01T08:00,-6.29
2025-03-01T16:00,-2.44
2025-03-02T00:00,-5.65
2025-03-02T08:00,-1.4
2025-03-02T16:00,9.66
2025-03-03T00:00,-9.84
2025-03-03T08:00,-22.65
2025-03-03T16:00,-49.67
2025-03-04T00:00,-46.32
2025-03-04T08:00,-32.82
2025-03-04T16:00,-23.91
2025-03-05T00:00,-39.73
2025-03-05T08:00,-19.52
2025-03-05T16:00,-7.33
2025-03-06T00:00,-5.73
2025-03-06T08:00,-18.99
2025-03-06T16:00,-40.4
2025-03-07T00:00,-17.88
2025-03-07T08:00,-4.85
2025-03-07T16:00,-3.41
2025-03-08T00:00,-31.68
2025-03-08T08:00,-17.9
2025-03-08T16:00,7.43
2025-03-09T00:00,-17.96
2025-03-09T08:00,-32.03
2025-03-09T16:00,-8.89
2025-03-10T00:00,-9.95
2025-03-10T08:00,9.69
2025-03-10T16:00,10.79
2025-03-11T00:00,3.84
2025-03-11T08:00,8.65
2025-03-11T16:00,2.31
2025-03-12T00:00,0.12
2025-03-12T08:00,-2.35
2025-03-12T16:00,5.56
2025-03-13T00:00,-11.55
2025-03-13T08:00,-4.92
2025-03-13T16:00,-7.71
2025-03-14T00:00,10.23
2025-03-14T08:00,8.89
2025-03-14T16:00,8.72
2025-03-15T00:00,5.92
2025-03-15T08:00,9.92
2025-03-15T16:00,9.45
2025-03-16T00:00,9.84
2025-03-16T08:00,-7.59
2025-03-16T16:00,-13.74
2025-03-17T00:00,4.22
2025-03-17T08:00,10.08
2025-03-17T16:00,-5.02
2025-03-18T00:00,2.69
2025-03-18T08:00,-3.27
2025-03-18T16:00,-0.17
2025-03-19T00:00,-12.95
2025-03-19T08:00,-5.97
2025-03-19T16:00,1.85
2025-03-20T00:00,8.91
2025-03-20T08:00,-6.23
2025-03-20T16:00,5.32
2025-03-21T00:00,-8.84
