date,value1
2025-02-17T00:00,-46.0
2025-02-17T08:00,-47.02
2025-02-17T16:00,-194.09
2025-02-18T00:00,-75.84
2025-02-18T08:00,-160.03
2025-02-18T16:00,-125.55
2025-02-19T00:00,-51.02
2025-02-19T08:00,-58.37
2025-02-19T16:00,-28.93
2025-02-20T00:00,-79.37
2025-02-20T08:00,-41.84
2025-02-20T16:00,-425.57
2025-02-21T00:00,-60.87
2025-02-21T08:00,-20.93
2025-02-21T16:00,-9.0
2025-02-22T00:00,-71.35
2025-02-22T08:00,-13.38
2025-02-22T16:00,-89.98
2025-02-23T00:00,-164.85
2025-02-23T08:00,-35.42
2025-02-23T16:00,-135.5
2025-02-24T00:00,-13.79
2025-02-24T08:00,-46.06
2025-02-24T16:00,-33.2
2025-02-25T00:00,4.32
2025-02-25T08:00,1.19
2025-02-25T16:00,-3.3
2025-02-26T00:00,-36.93
2025-02-26T08:00,-38.97
2025-02-26T16:00,-43.55
2025-02-27T00:00,-38.59
2025-02-27T08:00,-68.96
2025-02-27T16:00,-52.66
2025-02-28T00:00,-22.45
2025-02-28T08:00,-32.66
2025-02-28T16:00,-23.44
2025-03-01T00:00,-93.5
2025-03-01T08:00,-44.05
2025-03-01T16:00,-26.31
2025-03-02T00:00,-45.11
2025-03-02T08:00,-42.83
2025-03-02T16:00,-53.73
2025-03-03T00:00,-60.62
2025-03-03T08:00,-52.83
2025-03-03T16:00,-31.18
2025-03-04T00:00,-40.91
2025-03-04T08:00,-38.14
2025-03-04T16:00,-24.57
2025-03-05T00:00,-77.33
2025-03-05T08:00,-51.85
2025-03-05T16:00,-96.17
2025-03-06T00:00,-99.24
2025-03-06T08:00,-25.59
2025-03-06T16:00,-49.66
2025-03-07T00:00,-84.77
2025-03-07T08:00,-23.18
2025-03-07T16:00,-52.41
2025-03-08T00:00,-45.52
2025-03-08T08:00,-36.53
2025-03-08T16:00,-92.94
2025-03-09T00:00,-123.02
2025-03-09T08:00,-44.58
2025-03-09T16:00,-171.69
2025-03-10T00:00,-80.4
2025-03-10T08:00,-94.75
2025-03-10T16:00,-31.8
2025-03-11T00:00,-84.3
2025-03-11T08:00,-37.33
2025-03-11T16:00,-27.3
2025-03-12T00:00,-47.51
2025-03-12T08:00,-42.66
2025-03-12T16:00,-68.26
2025-03-13T00:00,-60.72
2025-03-13T08:00,-150.9
2025-03-13T16:00,-95.32
2025-03-14T00:00,-97.36
2025-03-14T08:00,-29.75
2025-03-14T16:00,-69.78
2025-03-15T00:00,-72.66
2025-03-15T08:00,-57.43
2025-03-15T16:00,-69.23
2025-03-16T00:00,-40.59
2025-03-16T08:00,-53.43
2025-03-16T16:00,-65.73
2025-03-17T00:00,-257.95
2025-03-17T08:00,-74.53
2025-03-17T16:00,-81.67
2025-03-18T00:00,-18.55
2025-03-18T08:00,-35.46
2025-03-18T16:00,-21.9
2025-03-19T00:00,-48.89
2025-03-19T08:00,-31.46
2025-03-19T16:00,-35.1
2025-03-20T00:00,-33.75
2025-03-20T08:00,-23.4
2025-03-20T16:00,-31.73
2025-03-21T00:00,-27.26
2025-03-21T08:00,-31.57
2025-03-21T16:00,-46.48
2025-03-22T00:00,-19.27
2025-03-22T08:00,-33.88
2025-03-22T16:00,-32.8
2025-03-23T00:00,-31.38
2025-03-23T08:00,-16.46
2025-03-23T16:00,-42.13
2025-03-24T00:00,-16.63
2025-03-24T08:00,-158.05
2025-03-24T16:00,-142.56
2025-03-25T00:00,-53.01
2025-03-25T08:00,-149.9
2025-03-25T16:00,-95.72
2025-03-26T00:00,-63.79
2025-03-26T08:00,-86.39
2025-03-26T16:00,-58.63
2025-03-27T00:00,-122.4
2025-03-27T08:00,-111.39
2025-03-27T16:00,-29.71
2025-03-28T00:00,-18.08
2025-03-28T08:00,-48.52
2025-03-28T16:00,-24.26
2025-03-29T00:00,-132.53
2025-03-29T08:00,-39.35
2025-03-29T16:00,-66.87
2025-03-30T00:00,-65.13
2025-03-30T08:00,-49.19
2025-03-30T16:00,-48.1
2025-03-31T00:00,-89.53
2025-03-31T08:00,-26.92
2025-03-31T16:00,-61.08
2025-04-01T00:00,-72.97
2025-04-01T08:00,-20.89
2025-04-01T16:00,-31.1
2025-04-02T00:00,-44.77
2025-04-02T08:00,-42.65
2025-04-02T16:00,-84.43
2025-04-03T00:00,-32.98
2025-04-03T08:00,-30.63
2025-04-03T16:00,-61.48
2025-04-04T00:00,-38.59
2025-04-04T08:00,-34.73
2025-04-04T16:00,-51.11
2025-04-05T00:00,-46.09
2025-04-05T08:00,-30.95
2025-04-05T16:00,-39.07
2025-04-06T00:00,-43.47
2025-04-06T08:00,-24.13
2025-04-06T16:00,-1.49
2025-04-07T00:00,-10.64
2025-04-07T08:00,4.45
2025-04-07T16:00,4.27
2025-04-08T00:00,2.57
2025-04-08T08:00,-46.51
2025-04-08T16:00,-36.16
2025-04-09T00:00,2.15
2025-04-09T08:00,-29.68
2025-04-09T16:00,-15.79
2025-04-10T00:00,-40.38
2025-04-10T08:00,-24.37
2025-04-10T16:00,-7.47
2025-04-11T00:00,-50.08
2025-04-11T08:00,-18.83
2025-04-11T16:00,-62.31
2025-04-12T00:00,-55.77
2025-04-12T08:00,-13.56
2025-04-12T16:00,-28.2
2025-04-13T00:00,-63.21
2025-04-13T08:00,-52.27
2025-04-13T16:00,-34.21
2025-04-14T00:00,-18.83
2025-04-14T08:00,-34.24
2025-04-14T16:00,-19.11
2025-04-15T00:00,-19.84
2025-04-15T08:00,-58.36
2025-04-15T16:00,-30.22
2025-04-16T00:00,-67.08
2025-04-16T08:00,-48.77
2025-04-16T16:00,-32.54
2025-04-17T00:00,-52.49
2025-04-17T08:00,-53.5
2025-04-17T16:00,-46.31
2025-04-18T00:00,-31.12
2025-04-18T08:00,-32.45
2025-04-18T16:00,-40.9
2025-04-19T00:00,-8.14
2025-04-19T08:00,3.3
2025-04-19T16:00,-21.3
2025-04-20T00:00,-2.82
2025-04-20T08:00,-33.23
2025-04-20T16:00,-13.87
2025-04-21T00:00,-3.23
2025-04-21T08:00,-5.61
2025-04-21T16:00,-10.32
2025-04-22T00:00,-20.91
2025-04-22T08:00,4.48
2025-04-22T16:00,-1.57
2025-04-23T00:00,-20.32
2025-04-23T08:00,-37.67
2025-04-23T16:00,-12.13
2025-04-24T00:00,-57.44
2025-04-24T08:00,2.9
2025-04-24T16:00,-3.45
2025-04-25T00:00,5.14
2025-04-25T08:00,-11.59
2025-04-25T16:00,-3.14
2025-04-26T00:00,2.97
2025-04-26T08:00,-5.06
2025-04-26T16:00,-17.2
2025-04-27T00:00,-47.68
2025-04-27T08:00,-27.71
2025-04-27T16:00,0.49
2025-04-28T00:00,-1.47
2025-04-28T08:00,4.53
2025-04-28T16:00,5.21
2025-04-29T00:00,-0.91
2025-04-29T08:00,-7.59
2025-04-29T16:00,-29.42
2025-04-30T00:00,-18.28
2025-04-30T08:00,-18.25
2025-04-30T16:00,3.67
2025-05-01T00:00,-44.36
2025-05-01T08:00,-2.56
2025-05-01T16:00,-21.56
2025-05-02T00:00,-24.27
2025-05-02T08:00,-11.17
2025-05-02T16:00,-70.05
2025-05-03T00:00,-61.0
2025-05-03T08:00,-36.23
2025-05-03T16:00,-63.55
2025-05-04T00:00,-14.57
2025-05-04T08:00,-49.91
2025-05-04T16:00,-38.07
2025-05-05T00:00,-34.25
2025-05-05T08:00,-29.56
2025-05-05T16:00,-15.0
2025-05-06T00:00,-36.17
2025-05-06T08:00,4.83
2025-05-06T16:00,1.68
2025-05-07T00:00,-6.47
2025-05-07T08:00,-3.85
2025-05-07T16:00,-4.92
2025-05-08T00:00,-2.37
2025-05-08T08:00,1.62
2025-05-08T16:00,4.9
2025-05-09T00:00,5.14
2025-05-09T08:00,4.69
2025-05-09T16:00,4.47
2025-05-10T00:00,5.04
2025-05-10T08:00,-1.69
2025-05-10T16:00,6.44
2025-05-11T00:00,4.54
2025-05-11T08:00,4.07
2025-05-11T16:00,-1.23
2025-05-12T00:00,5.09
2025-05-12T08:00,-0.49
2025-05-12T16:00,-15.64
2025-05-13T00:00,3.89
2025-05-13T08:00,2.0
2025-05-13T16:00,6.09
2025-05-14T00:00,4.77
2025-05-14T08:00,-23.13
2025-05-14T16:00,-31.13
2025-05-15T00:00,-46.05
2025-05-15T08:00,-22.21
2025-05-15T16:00,-52.37
2025-05-16T00:00,-0.88
2025-05-16T08:00,-2.01
2025-05-16T16:00,-23.79
2025-05-17T00:00,-45.19
2025-05-17T08:00,-30.39
2025-05-17T16:00,-22.09
2025-05-18T00:00,-25.79
2025-05-18T08:00,4.17
2025-05-18T16:00,-2.69
2025-05-19T00:00,-13.3
2025-05-19T08:00,-1.53
