date,value1
2024-10-14T00:00,2.5
2024-10-14T08:00,6.05
2024-10-14T16:00,7.13
2024-10-15T00:00,11.47
2024-10-15T08:00,4.04
2024-10-15T16:00,6.84
2024-10-16T00:00,4.82
2024-10-16T08:00,2.23
2024-10-16T16:00,0.95
2024-10-17T00:00,2.05
2024-10-17T08:00,1.35
2024-10-17T16:00,-0.26
2024-10-18T00:00,1.97
2024-10-18T08:00,2.01
2024-10-18T16:00,0.59
2024-10-19T00:00,-1.15
2024-10-19T08:00,2.13
2024-10-19T16:00,1.48
2024-10-20T00:00,2.16
2024-10-20T08:00,2.41
2024-10-20T16:00,6.0
2024-10-21T00:00,20.99
2024-10-21T08:00,3.28
2024-10-21T16:00,-1.98
2024-10-22T00:00,1.88
2024-10-22T08:00,-0.82
2024-10-22T16:00,2.56
2024-10-23T00:00,1.91
2024-10-23T08:00,1.66
2024-10-23T16:00,4.74
2024-10-24T00:00,3.57
2024-10-24T08:00,7.26
2024-10-24T16:00,2.76
2024-10-25T00:00,2.64
2024-10-25T08:00,1.88
2024-10-25T16:00,-1.12
2024-10-26T00:00,1.5
2024-10-26T08:00,5.48
2024-10-26T16:00,6.27
2024-10-27T00:00,3.57
2024-10-27T08:00,2.42
2024-10-27T16:00,5.53
2024-10-28T00:00,2.71
2024-10-28T08:00,2.48
2024-10-28T16:00,3.47
2024-10-29T00:00,7.73
2024-10-29T08:00,4.83
2024-10-29T16:00,17.38
2024-10-30T00:00,12.14
2024-10-30T08:00,2.58
2024-10-30T16:00,7.6
2024-10-31T00:00,4.54
2024-10-31T08:00,2.16
2024-10-31T16:00,8.89
2024-11-01T00:00,3.23
2024-11-01T08:00,2.17
2024-11-01T16:00,0.0
2024-11-02T00:00,-0.1
2024-11-02T08:00,0.37
2024-11-02T16:00,0.06
2024-11-03T00:00,0.34
2024-11-03T08:00,0.38
2024-11-03T16:00,1.85
2024-11-04T00:00,1.21
2024-11-04T08:00,2.18
2024-11-04T16:00,3.48
2024-11-05T00:00,7.41
2024-11-05T08:00,3.75
2024-11-05T16:00,1.73
2024-11-06T00:00,7.4
2024-11-06T08:00,7.65
2024-11-06T16:00,6.35
2024-11-07T00:00,23.23
2024-11-07T08:00,12.61
2024-11-07T16:00,11.79
2024-11-08T00:00,11.76
2024-11-08T08:00,17.01
2024-11-08T16:00,16.39
2024-11-09T00:00,24.23
2024-11-09T08:00,20.11
2024-11-09T16:00,11.41
2024-11-10T00:00,39.25
2024-11-10T08:00,40.96
2024-11-10T16:00,33.54
2024-11-11T00:00,19.33
2024-11-11T08:00,19.15
2024-11-11T16:00,45.71
2024-11-12T00:00,53.52
2024-11-12T08:00,40.34
2024-11-12T16:00,19.52
2024-11-13T00:00,11.97
2024-11-13T08:00,18.12
2024-11-13T16:00,21.84
2024-11-14T00:00,29.79
2024-11-14T08:00,15.66
2024-11-14T16:00,12.53
2024-11-15T00:00,4.24
2024-11-15T08:00,4.62
2024-11-15T16:00,2.23
2024-11-16T00:00,12.09
2024-11-16T08:00,10.43
2024-11-16T16:00,11.11
2024-11-17T00:00,3.24
2024-11-17T08:00,18.84
2024-11-17T16:00,8.84
2024-11-18T00:00,22.53
2024-11-18T08:00,14.31
2024-11-18T16:00,18.04
2024-11-19T00:00,29.11
2024-11-19T08:00,27.66
2024-11-19T16:00,16.54
2024-11-20T00:00,17.81
2024-11-20T08:00,13.86
2024-11-20T16:00,12.03
2024-11-21T00:00,14.39
2024-11-21T08:00,25.65
2024-11-21T16:00,31.46
2024-11-22T00:00,30.13
2024-11-22T08:00,31.72
2024-11-22T16:00,27.12
2024-11-23T00:00,31.38
2024-11-23T08:00,30.98
2024-11-23T16:00,26.36
2024-11-24T00:00,31.86
2024-11-24T08:00,40.8
2024-11-24T16:00,27.62
2024-11-25T00:00,30.33
2024-11-25T08:00,32.72
2024-11-25T16:00,30.47
2024-11-26T00:00,29.55
2024-11-26T08:00,19.63
2024-11-26T16:00,30.84
2024-11-27T00:00,25.49
2024-11-27T08:00,20.43
2024-11-27T16:00,21.4
2024-11-28T00:00,24.53
2024-11-28T08:00,16.82
2024-11-28T16:00,32.6
2024-11-29T00:00,27.93
2024-11-29T08:00,29.08
2024-11-29T16:00,23.61
2024-11-30T00:00,33.27
2024-11-30T08:00,27.73
2024-11-30T16:00,28.73
2024-12-01T00:00,29.93
2024-12-01T08:00,32.57
2024-12-01T16:00,43.8
2024-12-02T00:00,38.4
2024-12-02T08:00,35.81
2024-12-02T16:00,40.41
2024-12-03T00:00,48.39
2024-12-03T08:00,33.62
2024-12-03T16:00,45.28
2024-12-04T00:00,39.88
