date,value1
2024-10-14T00:00,13.09
2024-10-14T08:00,13.28
2024-10-14T16:00,11.24
2024-10-15T00:00,14.88
2024-10-15T08:00,10.95
2024-10-15T16:00,9.91
2024-10-16T00:00,9.61
2024-10-16T08:00,12.34
2024-10-16T16:00,9.97
2024-10-17T00:00,9.73
2024-10-17T08:00,12.13
2024-10-17T16:00,11.05
2024-10-18T00:00,10.13
2024-10-18T08:00,10.63
2024-10-18T16:00,9.3
2024-10-19T00:00,11.56
2024-10-19T08:00,11.11
2024-10-19T16:00,10.37
2024-10-20T00:00,12.21
2024-10-20T08:00,10.56
2024-10-20T16:00,13.2
2024-10-21T00:00,12.95
2024-10-21T08:00,14.81
2024-10-21T16:00,9.84
2024-10-22T00:00,12.47
2024-10-22T08:00,12.09
2024-10-22T16:00,11.49
2024-10-23T00:00,11.38
2024-10-23T08:00,11.96
2024-10-23T16:00,13.48
2024-10-24T00:00,12.83
2024-10-24T08:00,12.53
2024-10-24T16:00,11.04
2024-10-25T00:00,10.9
2024-10-25T08:00,10.54
2024-10-25T16:00,9.71
2024-10-26T00:00,8.08
2024-10-26T08:00,10.36
2024-10-26T16:00,9.71
2024-10-27T00:00,9.93
2024-10-27T08:00,9.59
2024-10-27T16:00,11.21
2024-10-28T00:00,11.58
2024-10-28T08:00,11.15
2024-10-28T16:00,10.44
2024-10-29T00:00,15.31
2024-10-29T08:00,11.2
2024-10-29T16:00,15.94
2024-10-30T00:00,16.79
2024-10-30T08:00,12.95
2024-10-30T16:00,12.75
2024-10-31T00:00,10.84
2024-10-31T08:00,12.06
2024-10-31T16:00,13.77
2024-11-01T00:00,11.12
2024-11-01T08:00,11.29
2024-11-01T16:00,12.7
2024-11-02T00:00,10.9
2024-11-02T08:00,10.45
2024-11-02T16:00,10.52
2024-11-03T00:00,11.95
2024-11-03T08:00,10.73
2024-11-03T16:00,11.75
2024-11-04T00:00,11.82
2024-11-04T08:00,11.56
2024-11-04T16:00,10.22
2024-11-05T00:00,10.54
2024-11-05T08:00,12.04
2024-11-05T16:00,7.53
2024-11-06T00:00,17.8
2024-11-06T08:00,13.44
2024-11-06T16:00,10.56
2024-11-07T00:00,17.82
2024-11-07T08:00,13.73
2024-11-07T16:00,7.21
2024-11-08T00:00,12.07
2024-11-08T08:00,13.3
2024-11-08T16:00,6.13
2024-11-09T00:00,11.56
2024-11-09T08:00,12.13
2024-11-09T16:00,13.55
2024-11-10T00:00,33.57
2024-11-10T08:00,24.0
2024-11-10T16:00,43.4
2024-11-11T00:00,14.77
2024-11-11T08:00,13.56
2024-11-11T16:00,50.93
2024-11-12T00:00,57.94
2024-11-12T08:00,58.59
2024-11-12T16:00,13.6
2024-11-13T00:00,16.04
2024-11-13T08:00,26.37
2024-11-13T16:00,17.95
2024-11-14T00:00,19.13
2024-11-14T08:00,15.31
2024-11-14T16:00,14.94
2024-11-15T00:00,13.78
2024-11-15T08:00,18.05
2024-11-15T16:00,15.46
2024-11-16T00:00,20.84
2024-11-16T08:00,21.57
2024-11-16T16:00,22.87
2024-11-17T00:00,19.68
2024-11-17T08:00,26.88
2024-11-17T16:00,20.21
2024-11-18T00:00,47.97
2024-11-18T08:00,32.62
2024-11-18T16:00,28.16
2024-11-19T00:00,36.73
2024-11-19T08:00,25.11
2024-11-19T16:00,12.55
2024-11-20T00:00,13.16
2024-11-20T08:00,12.28
2024-11-20T16:00,7.21
2024-11-21T00:00,13.37
2024-11-21T08:00,18.84
2024-11-21T16:00,14.12
2024-11-22T00:00,20.12
2024-11-22T08:00,18.67
2024-11-22T16:00,10.38
2024-11-23T00:00,14.1
2024-11-23T08:00,17.37
2024-11-23T16:00,20.43
2024-11-24T00:00,24.05
2024-11-24T08:00,29.11
2024-11-24T16:00,29.86
2024-11-25T00:00,19.51
2024-11-25T08:00,40.55
2024-11-25T16:00,23.38
2024-11-26T00:00,23.05
2024-11-26T08:00,33.47
2024-11-26T16:00,38.51
2024-11-27T00:00,25.26
2024-11-27T08:00,16.48
2024-11-27T16:00,13.35
2024-11-28T00:00,17.02
2024-11-28T08:00,17.62
2024-11-28T16:00,27.61
2024-11-29T00:00,21.53
2024-11-29T08:00,26.51
2024-11-29T16:00,14.05
2024-11-30T00:00,22.51
2024-11-30T08:00,15.02
2024-11-30T16:00,17.08
2024-12-01T00:00,23.8
2024-12-01T08:00,14.71
2024-12-01T16:00,23.74
2024-12-02T00:00,26.24
2024-12-02T08:00,17.19
2024-12-02T16:00,15.51
2024-12-03T00:00,29.31
2024-12-03T08:00,19.22
2024-12-03T16:00,29.66
2024-12-04T00:00,32.31
2024-12-04T08:00,34.03
2024-12-04T16:00,29.03
2024-12-05T00:00,99.17
2024-12-05T08:00,63.72
2024-12-05T16:00,12.83
2024-12-06T00:00,16.87
2024-12-06T08:00,12.52
2024-12-06T16:00,26.9
2024-12-07T00:00,13.91
2024-12-07T08:00,17.18
2024-12-07T16:00,19.91
2024-12-08T00:00,21.45
2024-12-08T08:00,21.61
2024-12-08T16:00,28.68
2024-12-09T00:00,21.79
2024-12-09T08:00,19.26
2024-12-09T16:00,13.55
2024-12-10T00:00,10.35
2024-12-10T08:00,10.87
2024-12-10T16:00,9.9
2024-12-11T00:00,11.68
2024-12-11T08:00,11.64
2024-12-11T16:00,9.18
2024-12-12T00:00,11.39
2024-12-12T08:00,11.31
2024-12-12T16:00,11.22
2024-12-13T00:00,10.87
2024-12-13T08:00,11.34
2024-12-13T16:00,8.29
2024-12-14T00:00,10.58
2024-12-14T08:00,10.38
2024-12-14T16:00,10.56
2024-12-15T00:00,10.01
2024-12-15T08:00,10.02
2024-12-15T16:00,12.31
2024-12-16T00:00,13.6
2024-12-16T08:00,10.85
2024-12-16T16:00,8.63
2024-12-17T00:00,10.6
2024-12-17T08:00,10.88
2024-12-17T16:00,10.31
2024-12-18T00:00,8.2
2024-12-18T08:00,10.12
2024-12-18T16:00,11.03
2024-12-19T00:00,8.41
2024-12-19T08:00,9.42
2024-12-19T16:00,7.31
2024-12-20T00:00,8.25
2024-12-20T08:00,9.83
2024-12-20T16:00,7.73
2024-12-21T00:00,2.72
2024-12-21T08:00,7.41
2024-12-21T16:00,8.69
2024-12-22T00:00,8.82
2024-12-22T08:00,9.12
2024-12-22T16:00,8.32
2024-12-23T00:00,8.84
2024-12-23T08:00,9.37
2024-12-23T16:00,10.09
2024-12-24T00:00,9.91
2024-12-24T08:00,11.31
2024-12-24T16:00,10.44
2024-12-25T00:00,10.56
