date,value1,value2,value3,value4,value5,value6,value7,value8
2009-10-05,0.0,60.0,-60.0,53.0,-53.0,,,
2009-10-12,0.0,60.0,-60.0,53.0,-53.0,,,
2009-10-19,0.0,60.0,-60.0,53.0,-53.0,,,
2009-10-26,0.0,60.0,-60.0,53.0,-53.0,,,
2009-11-02,0.0,60.0,-60.0,53.0,-53.0,,,
2009-11-09,0.0,60.0,-60.0,53.0,-53.0,,,
2009-11-16,0.0,60.0,-60.0,53.0,-53.0,,,
2009-11-23,0.0,60.0,-60.0,53.0,-53.0,,,
2009-11-30,0.0,60.0,-60.0,53.0,-53.0,,,
2009-12-07,0.0,60.0,-60.0,53.0,-53.0,,,
2009-12-14,0.0,60.0,-60.0,53.0,-53.0,,,
2009-12-21,0.0,60.0,-60.0,53.0,-53.0,,,
2009-12-28,0.0,60.0,-60.0,53.0,-53.0,,,
2010-01-04,0.0,60.0,-60.0,53.0,-53.0,,,
2010-01-11,0.0,60.0,-60.0,53.0,-53.0,,,
2010-01-18,0.0,60.0,-60.0,53.0,-53.0,,,
2010-01-25,0.0,60.0,-60.0,53.0,-53.0,,,
2010-02-01,0.0,60.0,-60.0,53.0,-53.0,,,
2010-02-08,0.0,60.0,-60.0,53.0,-53.0,,,
2010-02-15,0.0,60.0,-60.0,53.0,-53.0,,,
2010-02-22,0.0,60.0,-60.0,53.0,-53.0,,,
2010-03-01,0.0,60.0,-60.0,53.0,-53.0,,,
2010-04-19,0.0,60.0,-60.0,53.0,-53.0,,,
2010-04-26,0.0,60.0,-60.0,53.0,-53.0,,,
2010-05-03,0.0,60.0,-60.0,53.0,-53.0,,,
2010-05-10,0.0,60.0,-60.0,53.0,-53.0,,,
2010-05-17,0.0,60.0,-60.0,53.0,-53.0,,,
2010-05-24,0.0,60.0,-60.0,53.0,-53.0,,,
2010-06-07,0.0,60.0,-60.0,53.0,-53.0,,,
2010-06-14,0.0,60.0,-60.0,53.0,-53.0,,,
