date,value1,value2,value3,value4,value5
2014-03-01,58446121.13691057,63006686.11138751,56521660.267236546,61403434.515395395,1931291.29558922
2014-03-02,63943308.983209364,65610507.63531069,61287252.5064611,63394820.82992436,1506212.34799394
2014-03-03,64214022.49266115,81707331.646864,57087438.8131798,69828748.07082076,1506212.34799394
2014-03-04,69338710.31315723,72659338.08712138,57104123.23774195,61119446.30722716,1506212.34799394
2014-03-05,68804809.77416982,69971632.15871502,58194404.64622272,60597030.91117951,1506212.34799394
2014-03-06,64601890.04651525,65737695.81020234,62174508.203495994,64621325.98593058,1506212.34799394
2014-03-07,64308779.28066762,65264907.5507508,54687387.73587376,56517802.532460436,1506212.34799394
2014-03-08,54757444.48368382,55780831.442238,52115583.522366986,53996792.89654465,1506212.34799394
2014-03-09,56355770.76549586,59458364.45116165,53165907.24042193,55973085.98918399,1422923.18663669
2014-03-10,55512877.97227536,56980479.32071525,52725327.24499109,54777943.39026423,1422923.18663669
2014-03-11,54750787.85985965,56861942.1391304,53349261.15875786,55201366.978436634,1422923.18663669
2014-03-12,29554016.71385393,62603530.17075648,29149864.14581784,59924690.749106936,1422923.18663669
2014-03-13,46780212.50589739,56161590.10393749,46447327.48311456,50272811.82315267,1422923.18663669
2014-03-14,52143230.41415614,61052451.178621344,50504804.526141934,53540788.34840526,1422923.18663669
2014-03-15,53326131.629144326,58992260.301632255,52552372.58801951,58527927.40352909,1422923.18663669
2014-03-16,53177735.91920631,62723770.47292736,45068671.882506765,53912619.175166935,952158.2329250199
2014-03-17,49391009.77549034,61007170.40202758,48183049.99374045,59269478.78565379,952158.2329250199
2014-03-18,59334572.469410665,59887077.01604993,48196255.738920264,49931942.326210804,952158.2329250199
2014-03-19,50164257.18987139,58674086.32379319,47643473.82480412,48461542.52945271,952158.2329250199
2014-03-20,51416993.437986836,51615016.66831091,46190924.985137045,47294518.27112141,952158.2329250199
2014-03-21,49164699.11877264,57038432.996868476,42195159.23029675,43710839.3667093,952158.2329250199
2014-03-22,44486853.299050264,49943008.03970704,35584100.783582345,48310819.06166986,952158.2329250199
2014-03-23,50140975.75316943,50878741.63964398,48662805.719144136,49671040.51741989,757866.6896788399
2014-03-24,42122513.13796795,52581335.89327997,33649233.78388805,51504747.53077465,757866.6896788399
2014-03-25,45777433.3361134,46207153.26663527,43531793.33166609,45060143.8601703,757866.6896788399
2014-03-26,45152994.67634252,47176183.30627072,38987375.60357649,42532007.87157005,757866.6896788399
2014-03-27,42196708.542484514,44057340.48558175,33060762.95262995,35715741.4965804,757866.6896788399
2014-03-28,37660820.92901199,50364168.62101184,32318332.39991278,42290923.39665254,757866.6896788399
2014-03-29,35093639.59058918,49641360.12282668,33680652.864702106,37819512.70889904,757866.6896788399
2014-03-30,39105439.36933015,45243150.698610716,33934773.02627003,36527255.9835598,2149586.8347920603
2014-03-31,36845305.1755844,43163411.51189994,34339127.851496816,35674691.37796147,2149586.8347920603
2014-04-01,35970050.72840048,45862267.26902347,33094865.20347445,37712434.65300409,2149586.8347920603
2014-04-02,40635256.246418364,42334979.50867661,31082478.2490046,37078280.42757216,2149586.8347920603
2014-04-03,37241722.123580664,40562516.5872573,27077782.0712754,34815778.78953657,2149586.8347920603
2014-04-04,34218156.11482221,36360696.91644617,30612977.748623304,34268513.6948589,2149586.8347920603
2014-04-05,32080558.443372,39109977.32258227,30304468.809168644,32010454.43576131,2149586.8347920603
2014-04-06,33039844.905518524,35713805.8125828,31967759.42137427,33324322.637927115,612367.44608366
2014-04-07,34215385.20224317,35156548.488201424,31794413.27026098,33419337.756216455,612367.44608366
2014-04-08,33579554.99387299,35262236.79951755,31552349.14950034,33489083.29283052,612367.44608366
2014-04-09,33415985.39537227,34725570.81853638,23952777.11454285,32627563.470303617,612367.44608366
2014-04-10,32513737.554085992,32605150.356671214,4267190.944456433,24944781.256037477,612367.44608366
2014-04-11,26167896.050157305,33446691.08401423,23095843.576343685,32600133.435573447,612367.44608366
2014-04-12,32583498.199173447,35094119.24852158,29828995.16904185,31193771.785687596,612367.44608366
2014-04-13,32125543.648583338,33951717.780500256,26634330.06140762,30002695.57097109,459487.29841233994
2014-04-14,30080815.581606068,36701865.537545,26870473.1467248,35362655.703141205,459487.29841233994
2014-04-15,34105743.8724692,49225106.57802885,33263408.365952943,41556264.276927814,459487.29841233994
2014-04-16,46014525.24265442,60910864.35366708,39220173.18796673,47713157.3008078,459487.29841233994
2014-04-17,52471375.918837115,66043617.88256769,43002647.45448738,46785912.62728714,459487.29841233994
2014-04-18,47801397.926065125,54145129.421656184,40981508.3477763,43909009.92366035,459487.29841233994
2014-04-19,44184188.76466429,53450432.794752195,42840159.17937698,50971847.51372414,459487.29841233994
2014-04-20,51004313.57974842,52575443.89060079,47074316.10468046,50370992.118625,1546914.36545781
2014-04-21,48665984.28094452,52018736.102751754,45729489.3833015,46878536.76926685,1546914.36545781
2014-04-22,46873626.94594383,54772238.11689035,45099673.42008048,45863607.8397259,1546914.36545781
2014-04-23,45332339.520257294,48312274.75529789,42116387.94116222,45510885.45802356,1546914.36545781
2014-04-24,45877768.02455749,48188682.43352365,42043408.503192,45289459.49958904,1546914.36545781
2014-04-25,45623959.282666326,53399587.03660484,36395834.781284176,43079950.177652515,1546914.36545781
2014-04-26,44209057.17596282,48621401.49248748,38198942.06668564,41105094.224351674,1546914.36545781
2014-04-27,43561438.65279613,46631173.66607148,38398592.89519545,42268699.588222794,1946698.85420629
2014-04-28,40499236.276588105,47996165.92998474,39115306.10951952,42454402.67662351,1946698.85420629
2014-04-29,45508141.7072031,48965126.91830178,40245534.08693102,46004829.95208576,1946698.85420629
2014-04-30,44198279.96734081,48229053.0354154,41226854.68588107,44413181.23791774,1946698.85420629
2014-05-01,46949228.13285997,50892997.219385445,44501987.148281164,47739850.55228808,1946698.85420629
2014-05-02,47739850.55228808,48447768.100789204,42001542.44990341,45865365.85538766,1946698.85420629
2014-05-03,42607850.06211084,43387828.01539042,36660867.170038424,40787754.67124185,1946698.85420629
2014-05-04,40958206.146348566,46062297.85234602,39167692.95426347,43023226.70536783,589161.8516305902
2014-05-05,42388921.715078965,45262807.990343995,36574555.524161756,41013247.79232322,589161.8516305902
2014-05-06,42613796.58660966,43977120.85838106,37856516.11830611,41364538.808379896,589161.8516305902
2014-05-07,42667302.20537499,46139580.224006996,40517806.96412785,44174611.396872,589161.8516305902
2014-05-08,43892952.26004567,46383908.50977951,41512430.041135594,43651116.275591865,589161.8516305902
2014-05-09,43841601.85233884,49223755.674601555,41494719.53559048,48187373.84026544,589161.8516305902
2014-05-10,47497543.43135167,52512261.83340017,45406988.84204574,47881851.15350899,589161.8516305902
2014-05-11,50113588.88070704,51980962.59488804,43797265.4625749,47828712.642374404,1294583.71708276
2014-05-12,46871601.134356365,49664148.185424455,42944654.914334,48330323.46167189,1294583.71708276
2014-05-13,46125210.49156712,48911706.7915318,44224444.666898794,47395032.819902815,1294583.71708276
2014-05-14,47213744.4960638,56537228.9032918,44504703.72368063,52893675.53566731,1294583.71708276
2014-05-15,53479512.40765162,70253792.24504663,49109859.331104554,62494677.66923032,1294583.71708276
2014-05-16,59883735.68822829,65398779.35228798,51902618.79681921,57294729.017944545,1294583.71708276
2014-05-17,60217377.884709135,62942066.961752616,52175071.423515104,55136714.02170922,1294583.71708276
2014-05-18,55939710.582346715,64846435.254647434,51394825.539043635,62931074.75332171,1831677.0773957402
2014-05-19,63035898.624664895,67825003.3459425,60030674.975278325,64175753.4719369,1831677.0773957402
2014-05-20,65094205.98118281,76466366.85120998,56822760.06242519,66672626.629485905,1831677.0773957402
2014-05-21,66861738.061649576,76491394.73495091,60692895.25312626,70108494.68504797,1831677.0773957402
2014-05-22,69443900.55040525,90265883.3921455,48844005.36802576,84794930.38196121,1831677.0773957402
2014-05-23,82723222.46401389,106344651.79420274,77139795.28734405,89999334.0510867,1831677.0773957402
2014-05-24,89770043.11051033,96504827.45922695,75935282.61513208,85682445.51815441,1831677.0773957402
2014-05-25,86506327.03994201,106851896.23455752,76776318.80848376,96758605.43136275,4451079.42834103
2014-05-26,98104075.0111919,105099952.04191671,71419976.95082466,80688848.50297058,4451079.42834103
2014-05-27,77658363.91195498,92213309.40891126,62898820.909172736,78336384.35040179,4451079.42834103
2014-05-28,77428306.94153167,81931728.1237129,59864464.45637106,61738300.61199823,4451079.42834103
2014-05-29,62700729.084174946,78176115.80347256,54628254.76268764,73198875.15122645,4451079.42834103
2014-05-30,75118466.01152852,95307337.57280627,58556896.01066175,76851366.14907324,4451079.42834103
2014-05-31,75382480.86650631,86716208.80761832,69186157.78958818,74572956.56040557,4451079.42834103
2014-06-01,77158571.73462372,105728811.73353288,71779419.08604996,89391508.21244283,3044092.43964178
2014-06-02,88756977.4591928,112708267.94662377,82436211.29186065,95541131.86296234,3044092.43964178
