date,value1,value2,value3,value4,value5
2014-04-01,35662381.535466194,45431029.12833595,32789069.856024742,37307410.05473328,7014576.576305091
2014-04-02,40149226.72849369,41832714.50641632,30791592.488001823,36781306.35994339,7014576.576305091
2014-04-03,36722135.888970375,40012032.19652271,26585175.49099922,34281832.60727215,7014576.576305091
2014-04-04,33684209.932557106,35816723.63140869,30103016.112070084,33733182.42283726,7014576.576305091
2014-04-05,31776143.11209011,38795550.10929394,30005972.664883614,31696027.222473145,7014576.576305091
2014-04-06,32706732.373646736,35380549.94485378,31645110.407069206,32997323.38035965,4919554.780850431
2014-04-07,33885734.23131943,34823873.130693436,31474774.308955193,33098903.280903816,4919554.780850431
2014-04-08,33098903.280903816,34767943.096349716,31072632.70299816,33001486.95758438,4919554.780850431
2014-04-09,32928389.060126305,34233964.66268921,23481832.822494507,32152738.359924316,4919554.780850431
2014-04-10,32118049.96210289,32208772.960876465,3946862.179338455,24619480.52837658,4919554.780850431
2014-04-11,25842613.23947811,33059487.183073044,22791443.008344173,32221189.263397217,4919554.780850431
2014-04-12,32204554.026996613,34700393.566082954,29458364.476576805,30814451.35688591,4919554.780850431
2014-04-13,31884175.00162983,33708735.88142872,26408724.70539379,29766217.8045578,5609240.954167781
2014-04-14,29765519.46700859,36342102.74133682,26561455.839665413,35015389.93037987,5609240.954167781
2014-04-15,33844448.15358257,48924751.9804039,33005992.404800415,41260312.03983593,5609240.954167781
2014-04-16,45717380.10786915,60599574.860526085,38939546.84599304,47412223.2957325,5609240.954167781
2014-04-17,52170731.61748791,65740394.65001583,42729059.20890045,46501838.24293518,5609240.954167781
2014-04-18,47517323.541713715,53761152.69577408,40714526.483221054,43634580.96922302,5609240.954167781
2014-04-19,43727763.38557911,52970026.385066986,42392529.053915024,50494877.78548622,5609240.954167781
2014-04-20,50702240.62961292,52266584.19517803,46779526.19926739,50072016.55532551,8258616.814469688
2014-04-21,48366368.90993881,51710791.27255249,45436493.33126831,46581510.526638985,8258616.814469688
2014-04-22,46575859.24391937,54369697.41846371,44809547.53345394,45472946.43701458,8258616.814469688
2014-04-23,45039343.46822357,48016169.35740471,41826614.84570122,45216693.503736496,8258616.814469688
2014-04-24,45485559.921598434,47786062.00827885,41660719.782167435,44889071.42521858,8258616.814469688
2014-04-25,45223611.07170391,52897318.05611324,36046591.45994091,42615023.24501705,8258616.814469688
2014-04-26,43836964.14890194,48152049.721515656,37839318.31378555,40647661.6125021,8258616.814469688
2014-04-27,43176698.48811531,46147368.48043728,38038375.49655151,41818375.47665024,4454956.6401905585
