date,value1
2024-10-14T00:00,-24.6
2024-10-14T08:00,6.83
2024-10-14T16:00,6.78
2024-10-15T00:00,-48.89
2024-10-15T08:00,1.92
2024-10-15T16:00,0.24
2024-10-16T00:00,6.8
2024-10-16T08:00,7.12
2024-10-16T16:00,6.98
2024-10-17T00:00,7.09
2024-10-17T08:00,4.53
2024-10-17T16:00,-6.68
2024-10-18T00:00,-39.29
2024-10-18T08:00,-79.87
2024-10-18T16:00,-66.6
2024-10-19T00:00,-47.55
2024-10-19T08:00,-8.79
2024-10-19T16:00,-11.05
2024-10-20T00:00,-44.62
2024-10-20T08:00,-32.16
2024-10-20T16:00,-4.15
2024-10-21T00:00,-28.37
2024-10-21T08:00,1.01
2024-10-21T16:00,-2.78
2024-10-22T00:00,-4.95
2024-10-22T08:00,5.93
2024-10-22T16:00,7.42
2024-10-23T00:00,7.38
2024-10-23T08:00,7.43
2024-10-23T16:00,7.31
2024-10-24T00:00,7.23
2024-10-24T08:00,7.34
2024-10-24T16:00,7.2
2024-10-25T00:00,7.33
2024-10-25T08:00,7.3
2024-10-25T16:00,-66.7
2024-10-26T00:00,-20.84
2024-10-26T08:00,-17.35
2024-10-26T16:00,-3.84
2024-10-27T00:00,-4.66
2024-10-27T08:00,-21.34
2024-10-27T16:00,-20.4
2024-10-28T00:00,-46.45
2024-10-28T08:00,-68.21
2024-10-28T16:00,-26.35
2024-10-29T00:00,-26.56
2024-10-29T08:00,-22.98
2024-10-29T16:00,-19.39
2024-10-30T00:00,-41.78
2024-10-30T08:00,-21.78
2024-10-30T16:00,-44.18
2024-10-31T00:00,-36.91
2024-10-31T08:00,-0.85
2024-10-31T16:00,-67.81
2024-11-01T00:00,-77.21
2024-11-01T08:00,-22.12
2024-11-01T16:00,-75.33
2024-11-02T00:00,-60.3
2024-11-02T08:00,-90.92
2024-11-02T16:00,-130.74
2024-11-03T00:00,-67.91
2024-11-03T08:00,-8.89
2024-11-03T16:00,-44.14
2024-11-04T00:00,-20.65
2024-11-04T08:00,-33.39
2024-11-04T16:00,-0.59
2024-11-05T00:00,-11.89
2024-11-05T08:00,-0.81
2024-11-05T16:00,4.01
2024-11-06T00:00,7.38
2024-11-06T08:00,7.33
2024-11-06T16:00,7.03
2024-11-07T00:00,-49.75
2024-11-07T08:00,7.4
2024-11-07T16:00,-9.85
2024-11-08T00:00,-17.32
2024-11-08T08:00,-5.42
2024-11-08T16:00,-28.96
2024-11-09T00:00,-17.08
2024-11-09T08:00,-25.63
2024-11-09T16:00,-11.72
2024-11-10T00:00,-4.43
2024-11-10T08:00,-4.46
2024-11-10T16:00,-21.29
2024-11-11T00:00,-12.7
2024-11-11T08:00,-17.6
2024-11-11T16:00,-44.05
2024-11-12T00:00,7.67
2024-11-12T08:00,7.68
2024-11-12T16:00,11.87
2024-11-13T00:00,-0.44
2024-11-13T08:00,7.25
2024-11-13T16:00,7.71
2024-11-14T00:00,7.78
2024-11-14T08:00,12.36
2024-11-14T16:00,16.53
2024-11-15T00:00,7.68
2024-11-15T08:00,7.76
2024-11-15T16:00,7.77
2024-11-16T00:00,13.7
2024-11-16T08:00,7.82
2024-11-16T16:00,18.95
2024-11-17T00:00,7.61
2024-11-17T08:00,7.5
2024-11-17T16:00,11.72
2024-11-18T00:00,15.0
2024-11-18T08:00,20.81
2024-11-18T16:00,28.72
2024-11-19T00:00,16.78
2024-11-19T08:00,7.68
2024-11-19T16:00,7.59
2024-11-20T00:00,7.57
2024-11-20T08:00,7.61
2024-11-20T16:00,7.54
2024-11-21T00:00,7.35
2024-11-21T08:00,7.34
2024-11-21T16:00,7.39
2024-11-22T00:00,7.37
2024-11-22T08:00,11.44
2024-11-22T16:00,21.48
2024-11-23T00:00,23.35
2024-11-23T08:00,47.23
2024-11-23T16:00,10.62
2024-11-24T00:00,27.05
2024-11-24T08:00,18.7
2024-11-24T16:00,17.31
2024-11-25T00:00,18.65
2024-11-25T08:00,8.55
2024-11-25T16:00,7.42
2024-11-26T00:00,7.39
2024-11-26T08:00,-22.43
2024-11-26T16:00,4.12
2024-11-27T00:00,7.37
2024-11-27T08:00,0.53
2024-11-27T16:00,7.53
2024-11-28T00:00,7.39
2024-11-28T08:00,7.47
2024-11-28T16:00,7.42
2024-11-29T00:00,7.74
2024-11-29T08:00,7.64
2024-11-29T16:00,1.04
2024-11-30T00:00,7.68
2024-11-30T08:00,7.5
2024-11-30T16:00,-11.2
2024-12-01T00:00,-47.77
2024-12-01T08:00,-54.39
2024-12-01T16:00,-17.71
2024-12-02T00:00,7.59
2024-12-02T08:00,7.69
2024-12-02T16:00,7.52
