date,value1
2024-11-12T00:00,56.33
2024-11-12T08:00,42.52
2024-11-12T16:00,26.89
2024-11-13T00:00,18.09
2024-11-13T08:00,18.25
2024-11-13T16:00,27.55
2024-11-14T00:00,30.17
2024-11-14T08:00,16.15
2024-11-14T16:00,20.48
2024-11-15T00:00,14.16
2024-11-15T08:00,16.12
2024-11-15T16:00,20.96
2024-11-16T00:00,24.06
2024-11-16T08:00,23.79
2024-11-16T16:00,35.53
2024-11-17T00:00,31.52
2024-11-17T08:00,41.55
2024-11-17T16:00,16.99
2024-11-18T00:00,30.72
2024-11-18T08:00,33.37
2024-11-18T16:00,27.16
2024-11-19T00:00,28.26
2024-11-19T08:00,27.38
2024-11-19T16:00,16.78
2024-11-20T00:00,16.36
2024-11-20T08:00,19.23
2024-11-20T16:00,12.33
2024-11-21T00:00,13.39
2024-11-21T08:00,19.23
2024-11-21T16:00,33.42
2024-11-22T00:00,38.05
2024-11-22T08:00,34.26
2024-11-22T16:00,24.14
2024-11-23T00:00,41.86
2024-11-23T08:00,38.14
2024-11-23T16:00,29.87
2024-11-24T00:00,23.1
2024-11-24T08:00,28.23
2024-11-24T16:00,21.43
2024-11-25T00:00,35.94
2024-11-25T08:00,31.27
2024-11-25T16:00,32.33
2024-11-26T00:00,32.91
2024-11-26T08:00,23.28
2024-11-26T16:00,20.58
2024-11-27T00:00,29.87
2024-11-27T08:00,31.3
2024-11-27T16:00,31.04
2024-11-28T00:00,33.81
2024-11-28T08:00,15.14
2024-11-28T16:00,25.44
2024-11-29T00:00,33.2
2024-11-29T08:00,44.37
2024-11-29T16:00,43.93
2024-11-30T00:00,31.87
2024-11-30T08:00,34.71
2024-11-30T16:00,46.79
2024-12-01T00:00,35.85
2024-12-01T08:00,27.85
2024-12-01T16:00,57.47
2024-12-02T00:00,49.96
2024-12-02T08:00,30.96
2024-12-02T16:00,26.87
2024-12-03T00:00,56.85
2024-12-03T08:00,36.4
2024-12-03T16:00,44.55
2024-12-04T00:00,81.37
2024-12-04T08:00,67.13
2024-12-04T16:00,40.6
2024-12-05T00:00,80.55
2024-12-05T08:00,84.14
2024-12-05T16:00,59.66
2024-12-06T00:00,71.53
2024-12-06T08:00,51.22
2024-12-06T16:00,50.71
2024-12-07T00:00,52.35
2024-12-07T08:00,41.51
2024-12-07T16:00,56.39
2024-12-08T00:00,44.79
2024-12-08T08:00,55.98
2024-12-08T16:00,54.04
2024-12-09T00:00,49.83
2024-12-09T08:00,30.0
2024-12-09T16:00,15.02
2024-12-10T00:00,22.23
2024-12-10T08:00,8.71
2024-12-10T16:00,6.37
2024-12-11T00:00,8.47
2024-12-11T08:00,13.97
2024-12-11T16:00,12.58
2024-12-12T00:00,14.59
2024-12-12T08:00,14.33
2024-12-12T16:00,15.2
2024-12-13T00:00,16.05
2024-12-13T08:00,12.34
2024-12-13T16:00,15.06
2024-12-14T00:00,15.79
2024-12-14T08:00,16.36
2024-12-14T16:00,15.17
2024-12-15T00:00,16.33
2024-12-15T08:00,14.19
2024-12-15T16:00,14.35
2024-12-16T00:00,19.62
2024-12-16T08:00,15.34
2024-12-16T16:00,16.42
2024-12-17T00:00,14.42
2024-12-17T08:00,14.26
2024-12-17T16:00,17.28
2024-12-18T00:00,11.64
2024-12-18T08:00,13.03
2024-12-18T16:00,13.98
2024-12-19T00:00,8.39
2024-12-19T08:00,12.13
2024-12-19T16:00,13.63
2024-12-20T00:00,11.83
2024-12-20T08:00,8.75
2024-12-20T16:00,6.67
2024-12-21T00:00,14.64
2024-12-21T08:00,12.64
2024-12-21T16:00,9.6
2024-12-22T00:00,6.19
2024-12-22T08:00,11.28
2024-12-22T16:00,6.71
2024-12-23T00:00,7.91
2024-12-23T08:00,12.55
2024-12-23T16:00,20.58
2024-12-24T00:00,15.68
2024-12-24T08:00,13.73
2024-12-24T16:00,11.33
2024-12-25T00:00,11.9
2024-12-25T08:00,12.69
2024-12-25T16:00,13.7
2024-12-26T00:00,15.51
2024-12-26T08:00,4.13
2024-12-26T16:00,10.31
2024-12-27T00:00,5.58
2024-12-27T08:00,8.43
2024-12-27T16:00,14.62
2024-12-28T00:00,6.34
2024-12-28T08:00,15.57
2024-12-28T16:00,15.31
2024-12-29T00:00,19.53
2024-12-29T08:00,16.3
2024-12-29T16:00,15.09
2024-12-30T00:00,12.2
2024-12-30T08:00,5.11
2024-12-30T16:00,8.0
2024-12-31T00:00,11.73
2024-12-31T08:00,17.53
2024-12-31T16:00,18.59
2025-01-01T00:00,25.15
2025-01-01T08:00,18.21
2025-01-01T16:00,14.63
2025-01-02T00:00,17.48
2025-01-02T08:00,9.82
2025-01-02T16:00,14.2
2025-01-03T00:00,9.12
2025-01-03T08:00,9.35
2025-01-03T16:00,10.53
2025-01-04T00:00,11.47
2025-01-04T08:00,12.08
2025-01-04T16:00,10.86
2025-01-05T00:00,7.56
2025-01-05T08:00,12.71
2025-01-05T16:00,10.04
2025-01-06T00:00,8.69
2025-01-06T08:00,12.55
2025-01-06T16:00,10.68
2025-01-07T00:00,11.48
2025-01-07T08:00,13.82
2025-01-07T16:00,12.58
2025-01-08T00:00,12.19
2025-01-08T08:00,13.03
2025-01-08T16:00,-0.79
2025-01-09T00:00,10.55
2025-01-09T08:00,9.53
2025-01-09T16:00,9.56
2025-01-10T00:00,5.58
2025-01-10T08:00,10.07
2025-01-10T16:00,8.01
2025-01-11T00:00,10.65
2025-01-11T08:00,8.43
2025-01-11T16:00,11.99
2025-01-12T00:00,10.49
2025-01-12T08:00,12.17
2025-01-12T16:00,5.14
2025-01-13T00:00,3.58
2025-01-13T08:00,10.82
2025-01-13T16:00,5.35
2025-01-14T00:00,1.48
2025-01-14T08:00,4.67
2025-01-14T16:00,9.62
2025-01-15T00:00,11.73
2025-01-15T08:00,10.85
2025-01-15T16:00,11.13
2025-01-16T00:00,12.7
2025-01-16T08:00,14.09
2025-01-16T16:00,14.06
2025-01-17T00:00,14.62
2025-01-17T08:00,12.47
2025-01-17T16:00,10.12
2025-01-18T00:00,13.71
2025-01-18T08:00,5.84
2025-01-18T16:00,11.79
2025-01-19T00:00,18.29
2025-01-19T08:00,21.57
2025-01-19T16:00,14.83
2025-01-20T00:00,18.71
2025-01-20T08:00,18.45
2025-01-20T16:00,10.33
2025-01-21T00:00,13.98
2025-01-21T08:00,9.88
2025-01-21T16:00,10.47
2025-01-22T00:00,13.08
2025-01-22T08:00,11.13
2025-01-22T16:00,12.02
2025-01-23T00:00,15.1
2025-01-23T08:00,9.27
2025-01-23T16:00,11.03
2025-01-24T00:00,10.29
2025-01-24T08:00,12.53
2025-01-24T16:00,10.61
2025-01-25T00:00,14.1
2025-01-25T08:00,15.5
2025-01-25T16:00,12.02
2025-01-26T00:00,12.11
2025-01-26T08:00,11.61
2025-01-26T16:00,10.86
2025-01-27T00:00,3.85
2025-01-27T08:00,3.82
2025-01-27T16:00,9.4
2025-01-28T00:00,7.32
2025-01-28T08:00,10.03
2025-01-28T16:00,9.97
2025-01-29T00:00,11.89
2025-01-29T08:00,13.63
2025-01-29T16:00,7.11
2025-01-30T00:00,9.45
2025-01-30T08:00,10.85
2025-01-30T16:00,9.43
2025-01-31T00:00,10.71
2025-01-31T08:00,11.12
2025-01-31T16:00,10.42
2025-02-01T00:00,12.88
2025-02-01T08:00,11.2
2025-02-01T16:00,5.23
2025-02-02T00:00,0.83
2025-02-02T08:00,4.5
2025-02-02T16:00,-4.55
2025-02-03T00:00,-87.34
2025-02-03T08:00,-10.06
2025-02-03T16:00,8.74
2025-02-04T00:00,3.12
2025-02-04T08:00,-5.29
2025-02-04T16:00,1.23
2025-02-05T00:00,6.72
2025-02-05T08:00,5.95
2025-02-05T16:00,8.44
2025-02-06T00:00,5.81
2025-02-06T08:00,-0.35
2025-02-06T16:00,-5.28
2025-02-07T00:00,1.18
2025-02-07T08:00,5.87
2025-02-07T16:00,2.68
2025-02-08T00:00,5.92
2025-02-08T08:00,2.58
2025-02-08T16:00,8.27
2025-02-09T00:00,7.6
2025-02-09T08:00,9.95
2025-02-09T16:00,2.28
2025-02-10T00:00,5.96
2025-02-10T08:00,9.68
2025-02-10T16:00,-0.35
2025-02-11T00:00,5.24
2025-02-11T08:00,4.53
2025-02-11T16:00,-1.42
2025-02-12T00:00,10.77
2025-02-12T08:00,5.08
2025-02-12T16:00,6.78
2025-02-13T00:00,10.07
2025-02-13T08:00,4.26
2025-02-13T16:00,3.31
2025-02-14T00:00,6.91
2025-02-14T08:00,10.57
2025-02-14T16:00,6.26
2025-02-15T00:00,6.73
2025-02-15T08:00,3.21
2025-02-15T16:00,-2.61
2025-02-16T00:00,-6.79
2025-02-16T08:00,-1.22
2025-02-16T16:00,0.17
2025-02-17T00:00,3.56
2025-02-17T08:00,8.54
2025-02-17T16:00,4.03
2025-02-18T00:00,-2.26
2025-02-18T08:00,-13.03
2025-02-18T16:00,1.4
2025-02-19T00:00,1.67
2025-02-19T08:00,7.71
2025-02-19T16:00,10.78
2025-02-20T00:00,8.35
2025-02-20T08:00,9.56
2025-02-20T16:00,7.49
2025-02-21T00:00,9.47
2025-02-21T08:00,7.88
2025-02-21T16:00,14.96
2025-02-22T00:00,3.32
2025-02-22T08:00,6.18
2025-02-22T16:00,6.05
2025-02-23T00:00,8.06
2025-02-23T08:00,8.36
2025-02-23T16:00,4.44
2025-02-24T00:00,-0.4
2025-02-24T08:00,-4.52
2025-02-24T16:00,-5.01
2025-02-25T00:00,-7.19
2025-02-25T08:00,-0.26
2025-02-25T16:00,4.6
2025-02-26T00:00,9.17
2025-02-26T08:00,13.99
2025-02-26T16:00,16.08
2025-02-27T00:00,11.77
2025-02-27T08:00,11.54
2025-02-27T16:00,5.67
2025-02-28T00:00,2.78
2025-02-28T08:00,7.98
2025-02-28T16:00,10.55
2025-03-01T00:00,6.54
2025-03-01T08:00,12.2
2025-03-01T16:00,4.44
2025-03-02T00:00,3.17
2025-03-02T08:00,8.29
2025-03-02T16:00,8.66
2025-03-03T00:00,7.47
2025-03-03T08:00,5.76
2025-03-03T16:00,-10.06
2025-03-04T00:00,-3.31
2025-03-04T08:00,2.1
2025-03-04T16:00,2.52
2025-03-05T00:00,7.21
2025-03-05T08:00,9.58
2025-03-05T16:00,8.98
2025-03-06T00:00,8.31
2025-03-06T08:00,7.99
2025-03-06T16:00,3.65
2025-03-07T00:00,12.28
2025-03-07T08:00,9.62
2025-03-07T16:00,7.19
2025-03-08T00:00,-5.65
2025-03-08T08:00,-0.4
2025-03-08T16:00,-2.51
2025-03-09T00:00,-6.03
2025-03-09T08:00,-8.35
2025-03-09T16:00,-2.52
2025-03-10T00:00,-4.59
2025-03-10T08:00,8.6
2025-03-10T16:00,-11.47
2025-03-11T00:00,-9.32
2025-03-11T08:00,5.44
2025-03-11T16:00,5.86
2025-03-12T00:00,3.0
2025-03-12T08:00,4.61
2025-03-12T16:00,15.99
2025-03-13T00:00,5.85
2025-03-13T08:00,7.0
2025-03-13T16:00,11.1
2025-03-14T00:00,11.59
2025-03-14T08:00,8.34
2025-03-14T16:00,7.72
2025-03-15T00:00,10.43
2025-03-15T08:00,4.4
2025-03-15T16:00,7.45
2025-03-16T00:00,5.78
2025-03-16T08:00,1.19
2025-03-16T16:00,1.53
2025-03-17T00:00,8.84
2025-03-17T08:00,0.61
2025-03-17T16:00,8.87
2025-03-18T00:00,10.88
2025-03-18T08:00,2.26
2025-03-18T16:00,4.45
2025-03-19T00:00,8.26
2025-03-19T08:00,8.21
2025-03-19T16:00,5.08
2025-03-20T00:00,7.28
2025-03-20T08:00,4.15
2025-03-20T16:00,8.22
2025-03-21T00:00,6.53
2025-03-21T08:00,1.24
2025-03-21T16:00,9.33
2025-03-22T00:00,8.37
2025-03-22T08:00,10.59
2025-03-22T16:00,2.52
2025-03-23T00:00,7.15
2025-03-23T08:00,4.99
2025-03-23T16:00,6.16
2025-03-24T00:00,5.76
2025-03-24T08:00,8.52
2025-03-24T16:00,6.94
2025-03-25T00:00,3.36
2025-03-25T08:00,9.03
2025-03-25T16:00,7.33
2025-03-26T00:00,8.71
2025-03-26T08:00,4.56
2025-03-26T16:00,5.3
2025-03-27T00:00,8.89
2025-03-27T08:00,6.48
2025-03-27T16:00,7.91
2025-03-28T00:00,2.94
2025-03-28T08:00,-1.45
2025-03-28T16:00,1.48
2025-03-29T00:00,0.37
2025-03-29T08:00,0.56
2025-03-29T16:00,8.38
2025-03-30T00:00,6.78
2025-03-30T08:00,5.24
2025-03-30T16:00,2.04
2025-03-31T00:00,0.93
2025-03-31T08:00,10.18
2025-03-31T16:00,5.73
2025-04-01T00:00,12.02
2025-04-01T08:00,8.53
2025-04-01T16:00,4.71
2025-04-02T00:00,6.44
2025-04-02T08:00,4.83
2025-04-02T16:00,2.46
2025-04-03T00:00,7.04
2025-04-03T08:00,6.81
2025-04-03T16:00,9.58
2025-04-04T00:00,-8.14
2025-04-04T08:00,14.86
2025-04-04T16:00,7.8
2025-04-05T00:00,15.87
2025-04-05T08:00,3.2
2025-04-05T16:00,11.31
2025-04-06T00:00,9.58
2025-04-06T08:00,5.06
2025-04-06T16:00,2.48
2025-04-07T00:00,5.36
2025-04-07T08:00,2.23
