date,value1
2025-03-27T16:00,5.45
2025-03-28T00:00,5.45
2025-03-28T08:00,5.45
2025-03-28T16:00,-121.64
2025-03-29T00:00,-51.89
2025-03-29T08:00,5.4
2025-03-29T16:00,5.45
2025-03-30T00:00,5.45
2025-03-30T08:00,5.45
2025-03-30T16:00,5.45
2025-03-31T00:00,5.45
2025-03-31T08:00,5.45
2025-03-31T16:00,4.79
2025-04-01T00:00,-13.55
2025-04-01T08:00,5.45
2025-04-01T16:00,5.45
2025-04-02T00:00,5.04
2025-04-02T08:00,-68.06
2025-04-02T16:00,5.11
2025-04-03T00:00,-42.33
2025-04-03T08:00,2.35
2025-04-03T16:00,5.36
2025-04-04T00:00,-9.96
2025-04-04T08:00,3.03
2025-04-04T16:00,8.58
2025-04-05T00:00,5.47
2025-04-05T08:00,5.47
2025-04-05T16:00,5.47
2025-04-06T00:00,10.18
2025-04-06T08:00,-180.5
2025-04-06T16:00,5.47
2025-04-07T00:00,5.47
2025-04-07T08:00,6.23
2025-04-07T16:00,5.47
2025-04-08T00:00,5.47
2025-04-08T08:00,-48.49
2025-04-08T16:00,-3.05
2025-04-09T00:00,4.33
2025-04-09T08:00,5.47
2025-04-09T16:00,2.57
2025-04-10T00:00,3.34
2025-04-10T08:00,5.47
2025-04-10T16:00,8.38
2025-04-11T00:00,5.47
2025-04-11T08:00,32.09
2025-04-11T16:00,40.66
2025-04-12T00:00,5.47
2025-04-12T08:00,5.47
2025-04-12T16:00,5.47
2025-04-13T00:00,5.47
2025-04-13T08:00,13.23
2025-04-13T16:00,5.47
2025-04-14T00:00,5.47
2025-04-14T08:00,5.47
2025-04-14T16:00,5.47
2025-04-15T00:00,5.47
2025-04-15T08:00,5.47
2025-04-15T16:00,5.47
2025-04-16T00:00,5.46
2025-04-16T08:00,5.46
2025-04-16T16:00,5.42
2025-04-17T00:00,7.86
2025-04-17T08:00,22.2
2025-04-17T16:00,-108.3
2025-04-18T00:00,-146.37
2025-04-18T08:00,-128.37
2025-04-18T16:00,-13.55
2025-04-19T00:00,-90.24
2025-04-19T08:00,-8.98
2025-04-19T16:00,20.84
2025-04-20T00:00,37.99
2025-04-20T08:00,5.46
2025-04-20T16:00,7.3
2025-04-21T00:00,5.47
2025-04-21T08:00,5.47
2025-04-21T16:00,5.47
2025-04-22T00:00,5.47
2025-04-22T08:00,-19.14
2025-04-22T16:00,24.5
2025-04-23T00:00,60.28
2025-04-23T08:00,36.59
2025-04-23T16:00,5.47
2025-04-24T00:00,45.06
2025-04-24T08:00,23.96
2025-04-24T16:00,27.4
2025-04-25T00:00,28.08
2025-04-25T08:00,31.49
2025-04-25T16:00,37.82
2025-04-26T00:00,40.74
2025-04-26T08:00,39.91
2025-04-26T16:00,52.24
2025-04-27T00:00,47.98
2025-04-27T08:00,24.16
2025-04-27T16:00,23.0
2025-04-28T00:00,5.47
2025-04-28T08:00,5.47
2025-04-28T16:00,5.47
2025-04-29T00:00,5.37
2025-04-29T08:00,5.34
2025-04-29T16:00,21.82
2025-04-30T00:00,29.04
2025-04-30T08:00,32.35
2025-04-30T16:00,36.36
2025-05-01T00:00,5.47
2025-05-01T08:00,20.88
2025-05-01T16:00,5.47
2025-05-02T00:00,11.45
2025-05-02T08:00,57.89
2025-05-02T16:00,25.85
2025-05-03T00:00,24.15
2025-05-03T08:00,5.3
2025-05-03T16:00,5.21
2025-05-04T00:00,5.19
2025-05-04T08:00,6.88
2025-05-04T16:00,5.45
2025-05-05T00:00,5.64
2025-05-05T08:00,5.46
2025-05-05T16:00,5.47
2025-05-06T00:00,5.47
2025-05-06T08:00,5.47
2025-05-06T16:00,12.48
2025-05-07T00:00,23.19
2025-05-07T08:00,5.35
2025-05-07T16:00,5.47
2025-05-08T00:00,7.36
2025-05-08T08:00,82.65
2025-05-08T16:00,52.94
2025-05-09T00:00,41.22
2025-05-09T08:00,51.68
2025-05-09T16:00,91.36
2025-05-10T00:00,72.99
2025-05-10T08:00,10.85
2025-05-10T16:00,74.05
2025-05-11T00:00,5.38
2025-05-11T08:00,37.73
2025-05-11T16:00,30.16
2025-05-12T00:00,5.47
2025-05-12T08:00,27.87
2025-05-12T16:00,23.4
2025-05-13T00:00,5.37
2025-05-13T08:00,21.62
2025-05-13T16:00,6.16
2025-05-14T00:00,5.46
2025-05-14T08:00,67.24
2025-05-14T16:00,7.94
2025-05-15T00:00,20.3
2025-05-15T08:00,34.36
2025-05-15T16:00,91.78
2025-05-16T00:00,74.65
2025-05-16T08:00,49.18
2025-05-16T16:00,41.88
2025-05-17T00:00,26.35
2025-05-17T08:00,62.53
2025-05-17T16:00,76.22
2025-05-18T00:00,49.72
2025-05-18T08:00,16.05
2025-05-18T16:00,16.69
2025-05-19T00:00,9.15
2025-05-19T08:00,4.45
2025-05-19T16:00,-26.62
2025-05-20T00:00,-5.47
2025-05-20T08:00,5.38
2025-05-20T16:00,5.37
2025-05-21T00:00,0.73
2025-05-21T08:00,5.36
2025-05-21T16:00,5.51
2025-05-22T00:00,7.38
2025-05-22T08:00,8.32
2025-05-22T16:00,5.39
2025-05-23T00:00,5.36
2025-05-23T08:00,5.33
2025-05-23T16:00,4.85
2025-05-24T00:00,5.33
2025-05-24T08:00,5.33
2025-05-24T16:00,5.33
2025-05-25T00:00,3.6
2025-05-25T08:00,12.19
2025-05-25T16:00,39.17
2025-05-26T00:00,13.77
2025-05-26T08:00,5.37
2025-05-26T16:00,8.45
2025-05-27T00:00,11.13
2025-05-27T08:00,11.89
2025-05-27T16:00,14.68
2025-05-28T00:00,5.38
2025-05-28T08:00,13.11
2025-05-28T16:00,8.96
2025-05-29T00:00,5.37
2025-05-29T08:00,15.65
2025-05-29T16:00,5.36
2025-05-30T00:00,16.15
2025-05-30T08:00,6.89
2025-05-30T16:00,-22.92
2025-05-31T00:00,5.35
2025-05-31T08:00,6.35
2025-05-31T16:00,5.37
2025-06-01T00:00,5.38
2025-06-01T08:00,5.37
2025-06-01T16:00,5.37
2025-06-02T00:00,5.37
2025-06-02T08:00,41.33
2025-06-02T16:00,21.11
2025-06-03T00:00,26.11
2025-06-03T08:00,19.5
2025-06-03T16:00,21.24
2025-06-04T00:00,53.65
2025-06-04T08:00,8.07
2025-06-04T16:00,16.13
2025-06-05T00:00,-1.8
2025-06-05T08:00,5.38
2025-06-05T16:00,48.69
2025-06-06T00:00,5.5
2025-06-06T08:00,5.43
2025-06-06T16:00,5.41
2025-06-07T00:00,10.95
2025-06-07T08:00,4.79
2025-06-07T16:00,5.37
2025-06-08T00:00,5.37
2025-06-08T08:00,15.43
2025-06-08T16:00,5.38
2025-06-09T00:00,5.37
2025-06-09T08:00,6.83
2025-06-09T16:00,51.12
2025-06-10T00:00,5.4
2025-06-10T08:00,37.34
2025-06-10T16:00,5.37
2025-06-11T00:00,5.36
2025-06-11T08:00,32.91
2025-06-11T16:00,6.63
2025-06-12T00:00,5.36
2025-06-12T08:00,5.36
2025-06-12T16:00,5.36
2025-06-13T00:00,10.06
2025-06-13T08:00,5.39
2025-06-13T16:00,67.78
2025-06-14T00:00,26.04
2025-06-14T08:00,14.65
2025-06-14T16:00,5.48
2025-06-15T00:00,5.39
2025-06-15T08:00,5.39
2025-06-15T16:00,5.52
2025-06-16T00:00,5.39
2025-06-16T08:00,5.4
2025-06-16T16:00,5.06
2025-06-17T00:00,5.38
2025-06-17T08:00,5.39
2025-06-17T16:00,5.4
2025-06-18T00:00,5.4
2025-06-18T08:00,5.37
2025-06-18T16:00,5.38
2025-06-19T00:00,5.38
2025-06-19T08:00,5.38
2025-06-19T16:00,5.38
2025-06-20T00:00,5.38
2025-06-20T08:00,5.36
2025-06-20T16:00,5.35
2025-06-21T00:00,4.55
2025-06-21T08:00,-9.36
2025-06-21T16:00,-22.12
2025-06-22T00:00,-14.18
2025-06-22T08:00,0.35
2025-06-22T16:00,5.46
2025-06-23T00:00,-11.29
2025-06-23T08:00,-38.11
2025-06-23T16:00,-0.64
2025-06-24T00:00,-1.91
2025-06-24T08:00,-48.05
2025-06-24T16:00,-2.68
2025-06-25T00:00,0.61
2025-06-25T08:00,1.47
2025-06-25T16:00,5.11
2025-06-26T00:00,-2.66
2025-06-26T08:00,7.82
2025-06-26T16:00,5.81
2025-06-27T00:00,4.64
2025-06-27T08:00,6.06
2025-06-27T16:00,7.95
2025-06-28T00:00,7.82
2025-06-28T08:00,7.4
2025-06-28T16:00,23.77
2025-06-29T00:00,4.23
2025-06-29T08:00,4.05
2025-06-29T16:00,21.3
2025-06-30T00:00,9.04
2025-06-30T08:00,10.4
2025-06-30T16:00,9.98
2025-07-01T00:00,13.92
2025-07-01T08:00,10.4
2025-07-01T16:00,14.49
2025-07-02T00:00,14.91
2025-07-02T08:00,25.61
2025-07-02T16:00,31.23
2025-07-03T00:00,36.3
2025-07-03T08:00,16.53
2025-07-03T16:00,16.73
2025-07-04T00:00,20.98
2025-07-04T08:00,11.72
2025-07-04T16:00,10.18
2025-07-05T00:00,5.86
2025-07-05T08:00,10.68
2025-07-05T16:00,13.77
2025-07-06T00:00,13.28
2025-07-06T08:00,10.54
2025-07-06T16:00,7.83
2025-07-07T00:00,7.98
2025-07-07T08:00,12.21
2025-07-07T16:00,13.19
2025-07-08T00:00,37.66
2025-07-08T08:00,3.18
2025-07-08T16:00,9.12
2025-07-09T00:00,4.83
2025-07-09T08:00,12.71
2025-07-09T16:00,12.51
2025-07-10T00:00,10.82
2025-07-10T08:00,21.2
2025-07-10T16:00,8.67
2025-07-11T00:00,50.25
2025-07-11T08:00,17.37
2025-07-11T16:00,21.48
2025-07-12T00:00,8.35
2025-07-12T08:00,24.66
2025-07-12T16:00,23.67
2025-07-13T00:00,17.29
2025-07-13T08:00,35.45
2025-07-13T16:00,12.89
2025-07-14T00:00,10.51
2025-07-14T08:00,10.32
2025-07-14T16:00,10.56
2025-07-15T00:00,9.66
2025-07-15T08:00,12.33
2025-07-15T16:00,23.12
2025-07-16T00:00,21.45
2025-07-16T08:00,24.35
2025-07-16T16:00,15.18
2025-07-17T00:00,7.38
2025-07-17T08:00,18.36
2025-07-17T16:00,62.98
2025-07-18T00:00,10.92
2025-07-18T08:00,35.81
2025-07-18T16:00,43.32
2025-07-19T00:00,8.26
2025-07-19T08:00,12.75
2025-07-19T16:00,26.42
2025-07-20T00:00,20.57
2025-07-20T08:00,9.5
2025-07-20T16:00,13.64
2025-07-21T00:00,37.16
2025-07-21T08:00,14.91
2025-07-21T16:00,34.65
2025-07-22T00:00,26.68
2025-07-22T08:00,11.6
2025-07-22T16:00,6.36
2025-07-23T00:00,46.13
2025-07-23T08:00,13.67
2025-07-23T16:00,12.27
2025-07-24T00:00,8.69
2025-07-24T08:00,3.41
2025-07-24T16:00,13.13
2025-07-25T00:00,8.89
2025-07-25T08:00,7.48
2025-07-25T16:00,4.6
2025-07-26T00:00,6.86
2025-07-26T08:00,14.41
2025-07-26T16:00,9.73
2025-07-27T00:00,7.74
2025-07-27T08:00,10.25
2025-07-27T16:00,6.21
2025-07-28T00:00,5.05
2025-07-28T08:00,7.68
2025-07-28T16:00,5.8
2025-07-29T00:00,1.37
2025-07-29T08:00,5.45
2025-07-29T16:00,10.04
2025-07-30T00:00,7.24
2025-07-30T08:00,8.48
2025-07-30T16:00,7.22
2025-07-31T00:00,15.03
2025-07-31T08:00,8.55
2025-07-31T16:00,0.71
2025-08-01T00:00,5.45
2025-08-01T08:00,6.48
2025-08-01T16:00,-2.68
2025-08-02T00:00,3.98
2025-08-02T08:00,3.02
2025-08-02T16:00,1.46
2025-08-03T00:00,-0.87
2025-08-03T08:00,0.87
2025-08-03T16:00,-2.58
2025-08-04T00:00,8.8
2025-08-04T08:00,4.48
2025-08-04T16:00,3.83
2025-08-05T00:00,9.39
2025-08-05T08:00,3.3
2025-08-05T16:00,4.12
2025-08-06T00:00,0.19
2025-08-06T08:00,7.09
2025-08-06T16:00,-3.36
2025-08-07T00:00,-0.67
2025-08-07T08:00,-3.65
2025-08-07T16:00,2.79
2025-08-08T00:00,2.08
2025-08-08T08:00,-179.66
2025-08-08T16:00,2.82
2025-08-09T00:00,-0.6
2025-08-09T08:00,12.04
2025-08-09T16:00,25.27
2025-08-10T00:00,6.57
2025-08-10T08:00,3.44
2025-08-10T16:00,4.54
2025-08-11T00:00,6.28
2025-08-11T08:00,5.74
2025-08-11T16:00,5.11
2025-08-12T00:00,3.35
2025-08-12T08:00,3.96
2025-08-12T16:00,8.56
2025-08-13T00:00,7.74
2025-08-13T08:00,10.05
2025-08-13T16:00,9.57
2025-08-14T00:00,2.67
2025-08-14T08:00,2.82
2025-08-14T16:00,3.14
2025-08-15T00:00,0.61
2025-08-15T08:00,8.02
2025-08-15T16:00,10.41
2025-08-16T00:00,3.94
2025-08-16T08:00,3.91
2025-08-16T16:00,-20.91
2025-08-17T00:00,1.66
2025-08-17T08:00,4.91
2025-08-17T16:00,-16.82
2025-08-18T00:00,2.78
2025-08-18T08:00,19.03
2025-08-18T16:00,0.54
2025-08-19T00:00,5.21
2025-08-19T08:00,8.44
2025-08-19T16:00,16.58
2025-08-20T00:00,17.95
2025-08-20T08:00,2.52
2025-08-20T16:00,5.25
2025-08-21T00:00,27.85
2025-08-21T08:00,5.17
2025-08-21T16:00,5.15
2025-08-22T00:00,4.89
2025-08-22T08:00,8.5
2025-08-22T16:00,8.91
2025-08-23T00:00,5.73
2025-08-23T08:00,8.57
2025-08-23T16:00,35.57
2025-08-24T00:00,14.3
2025-08-24T08:00,46.65
2025-08-24T16:00,5.4
2025-08-25T00:00,9.33
2025-08-25T08:00,-21.64
2025-08-25T16:00,10.17
2025-08-26T00:00,21.99
2025-08-26T08:00,6.66
2025-08-26T16:00,-13.18
2025-08-27T00:00,-8.46
2025-08-27T08:00,-18.39
2025-08-27T16:00,3.36
2025-08-28T00:00,14.83
2025-08-28T08:00,-1.99
2025-08-28T16:00,5.23
2025-08-29T00:00,9.31
2025-08-29T08:00,20.94
2025-08-29T16:00,66.19
2025-08-30T00:00,2.41
2025-08-30T08:00,18.21
2025-08-30T16:00,1.17
2025-08-31T00:00,2.66
2025-08-31T08:00,-4.21
2025-08-31T16:00,0.67
2025-09-01T00:00,8.12
2025-09-01T08:00,5.2
2025-09-01T16:00,5.8
2025-09-02T00:00,6.59
2025-09-02T08:00,4.75
2025-09-02T16:00,6.54
2025-09-03T00:00,-3.05
2025-09-03T08:00,8.34
2025-09-03T16:00,14.02
2025-09-04T00:00,2.32
2025-09-04T08:00,2.51
2025-09-04T16:00,12.43
2025-09-05T00:00,15.06
2025-09-05T08:00,5.76
2025-09-05T16:00,6.13
2025-09-06T00:00,13.47
2025-09-06T08:00,6.77
2025-09-06T16:00,12.88
2025-09-07T00:00,8.55
2025-09-07T08:00,9.37
2025-09-07T16:00,7.72
2025-09-08T00:00,18.72
2025-09-08T08:00,12.09
2025-09-08T16:00,13.81
2025-09-09T00:00,8.72
2025-09-09T08:00,8.72
2025-09-09T16:00,11.21
2025-09-10T00:00,44.24
2025-09-10T08:00,25.08
2025-09-10T16:00,45.62
2025-09-11T00:00,12.14
2025-09-11T08:00,34.98
2025-09-11T16:00,10.53
2025-09-12T00:00,7.05
2025-09-12T08:00,1.62
2025-09-12T16:00,16.85
2025-09-13T00:00,26.91
2025-09-13T08:00,10.2
2025-09-13T16:00,36.45
2025-09-14T00:00,7.77
2025-09-14T08:00,25.61
2025-09-14T16:00,13.33
2025-09-15T00:00,2.15
2025-09-15T08:00,-0.91
2025-09-15T16:00,41.98
2025-09-16T00:00,3.8
2025-09-16T08:00,-2.4
2025-09-16T16:00,6.7
2025-09-17T00:00,31.17
2025-09-17T08:00,5.17
2025-09-17T16:00,-2.46
2025-09-18T00:00,17.34
2025-09-18T08:00,0.59
2025-09-18T16:00,11.68
2025-09-19T00:00,6.52
2025-09-19T08:00,4.01
2025-09-19T16:00,6.23
2025-09-20T00:00,0.36
2025-09-20T08:00,21.5
2025-09-20T16:00,6.99
2025-09-21T00:00,12.73
2025-09-21T08:00,40.73
2025-09-21T16:00,4.52
2025-09-22T00:00,1.73
2025-09-22T08:00,4.9
2025-09-22T16:00,0.6
2025-09-23T00:00,7.64
2025-09-23T08:00,12.13
2025-09-23T16:00,13.29
2025-09-24T00:00,-3.72
2025-09-24T08:00,13.9
2025-09-24T16:00,3.85
2025-09-25T00:00,6.39
2025-09-25T08:00,-1.07
2025-09-25T16:00,23.17
2025-09-26T00:00,42.79
2025-09-26T08:00,18.21
2025-09-26T16:00,17.94
2025-09-27T00:00,20.77
2025-09-27T08:00,20.34
2025-09-27T16:00,54.2
2025-09-28T00:00,30.78
2025-09-28T08:00,-3.92
2025-09-28T16:00,16.65
2025-09-29T00:00,24.68
2025-09-29T08:00,8.07
2025-09-29T16:00,1.67
2025-09-30T00:00,-3.98
2025-09-30T08:00,29.3
2025-09-30T16:00,30.57
2025-10-01T00:00,17.92
2025-10-01T08:00,14.05
2025-10-01T16:00,-1.11
2025-10-02T00:00,31.03
2025-10-02T08:00,12.12
2025-10-02T16:00,10.81
2025-10-03T00:00,11.53
2025-10-03T08:00,-1.69
2025-10-03T16:00,11.49
2025-10-04T00:00,28.29
2025-10-04T08:00,9.21
2025-10-04T16:00,12.87
2025-10-05T00:00,9.57
2025-10-05T08:00,-3.23
2025-10-05T16:00,45.54
2025-10-06T00:00,11.92
2025-10-06T08:00,19.33
2025-10-06T16:00,20.51
2025-10-07T00:00,28.73
2025-10-07T08:00,15.54
2025-10-07T16:00,2.18
2025-10-08T00:00,5.18
2025-10-08T08:00,40.84
2025-10-08T16:00,6.72
2025-10-09T00:00,12.94
2025-10-09T08:00,4.21
2025-10-09T16:00,8.72
2025-10-10T00:00,12.37
2025-10-10T08:00,11.7
2025-10-10T16:00,641.98
2025-10-11T00:00,101.78
2025-10-11T08:00,91.4
2025-10-11T16:00,15.69
2025-10-12T00:00,24.24
2025-10-12T08:00,7.98
2025-10-12T16:00,38.9
2025-10-13T00:00,26.07
2025-10-13T08:00,42.15
2025-10-13T16:00,6.63
2025-10-14T00:00,14.42
2025-10-14T08:00,5.0
2025-10-14T16:00,12.51
2025-10-15T00:00,34.36
2025-10-15T08:00,23.82
2025-10-15T16:00,6.1
2025-10-16T00:00,15.07
2025-10-16T08:00,-0.42
2025-10-16T16:00,8.09
2025-10-17T00:00,-7.69
2025-10-17T08:00,9.27
2025-10-17T16:00,-8.04
2025-10-18T00:00,-5.07
2025-10-18T08:00,9.61
2025-10-18T16:00,3.11
2025-10-19T00:00,8.89
2025-10-19T08:00,0.59
2025-10-19T16:00,20.23
2025-10-20T00:00,38.13
2025-10-20T08:00,5.44
2025-10-20T16:00,24.98
2025-10-21T00:00,51.66
2025-10-21T08:00,22.51
2025-10-21T16:00,45.53
2025-10-22T00:00,23.55
2025-10-22T08:00,-9.23
2025-10-22T16:00,11.32
2025-10-23T00:00,30.77
2025-10-23T08:00,35.68
2025-10-23T16:00,5.29
2025-10-24T00:00,18.53
2025-10-24T08:00,5.62
2025-10-24T16:00,-1.3
2025-10-25T00:00,30.93
2025-10-25T08:00,38.87
2025-10-25T16:00,2.09
2025-10-26T00:00,23.77
2025-10-26T08:00,6.1
2025-10-26T16:00,31.58
2025-10-27T00:00,60.53
2025-10-27T08:00,1.86
2025-10-27T16:00,-0.15
2025-10-28T00:00,7.38
2025-10-28T08:00,22.96
2025-10-28T16:00,8.82
2025-10-29T00:00,12.38
2025-10-29T08:00,-36.56
2025-10-29T16:00,-0.29
2025-10-30T00:00,5.98
2025-10-30T08:00,-33.34
2025-10-30T16:00,-10.87
2025-10-31T00:00,0.75
