date,value1
2024-10-14T00:00,9.1
2024-10-14T08:00,9.06
2024-10-14T16:00,11.31
2024-10-15T00:00,13.1
2024-10-15T08:00,10.95
2024-10-15T16:00,9.2
2024-10-16T00:00,3.94
2024-10-16T08:00,11.66
2024-10-16T16:00,7.87
2024-10-17T00:00,11.59
2024-10-17T08:00,11.42
2024-10-17T16:00,7.72
2024-10-18T00:00,7.08
2024-10-18T08:00,11.19
2024-10-18T16:00,8.04
2024-10-19T00:00,8.61
2024-10-19T08:00,9.71
2024-10-19T16:00,12.64
2024-10-20T00:00,8.99
2024-10-20T08:00,11.51
2024-10-20T16:00,14.77
2024-10-21T00:00,18.38
2024-10-21T08:00,19.85
2024-10-21T16:00,9.62
2024-10-22T00:00,12.93
2024-10-22T08:00,11.76
2024-10-22T16:00,10.11
2024-10-23T00:00,11.55
2024-10-23T08:00,10.48
2024-10-23T16:00,11.38
2024-10-24T00:00,9.97
2024-10-24T08:00,9.31
2024-10-24T16:00,9.86
2024-10-25T00:00,11.08
2024-10-25T08:00,6.43
2024-10-25T16:00,7.95
2024-10-26T00:00,6.79
2024-10-26T08:00,9.18
2024-10-26T16:00,9.63
2024-10-27T00:00,4.91
2024-10-27T08:00,2.67
2024-10-27T16:00,8.97
2024-10-28T00:00,9.01
2024-10-28T08:00,1.31
2024-10-28T16:00,10.98
2024-10-29T00:00,13.01
2024-10-29T08:00,11.48
2024-10-29T16:00,9.79
2024-10-30T00:00,13.34
2024-10-30T08:00,12.11
2024-10-30T16:00,10.42
2024-10-31T00:00,11.66
2024-10-31T08:00,10.84
2024-10-31T16:00,12.83
2024-11-01T00:00,11.96
2024-11-01T08:00,10.11
2024-11-01T16:00,9.35
2024-11-02T00:00,10.44
2024-11-02T08:00,8.75
2024-11-02T16:00,4.84
2024-11-03T00:00,7.86
2024-11-03T08:00,10.13
2024-11-03T16:00,8.17
2024-11-04T00:00,8.98
2024-11-04T08:00,5.49
2024-11-04T16:00,7.13
2024-11-05T00:00,8.42
2024-11-05T08:00,0.46
2024-11-05T16:00,-1.94
2024-11-06T00:00,16.57
2024-11-06T08:00,15.68
2024-11-06T16:00,13.87
2024-11-07T00:00,19.03
2024-11-07T08:00,12.32
2024-11-07T16:00,12.14
2024-11-08T00:00,13.22
2024-11-08T08:00,11.5
2024-11-08T16:00,10.43
2024-11-09T00:00,13.87
2024-11-09T08:00,11.29
2024-11-09T16:00,12.45
2024-11-10T00:00,31.98
2024-11-10T08:00,45.32
2024-11-10T16:00,40.4
2024-11-11T00:00,15.26
2024-11-11T08:00,22.27
2024-11-11T16:00,32.49
2024-11-12T00:00,55.41
2024-11-12T08:00,63.39
2024-11-12T16:00,39.74
2024-11-13T00:00,23.68
2024-11-13T08:00,24.21
2024-11-13T16:00,23.84
2024-11-14T00:00,25.54
2024-11-14T08:00,12.92
2024-11-14T16:00,11.98
2024-11-15T00:00,13.05
2024-11-15T08:00,12.24
2024-11-15T16:00,22.51
2024-11-16T00:00,27.27
2024-11-16T08:00,18.32
2024-11-16T16:00,15.27
2024-11-17T00:00,43.13
2024-11-17T08:00,39.5
2024-11-17T16:00,28.47
2024-11-18T00:00,32.03
2024-11-18T08:00,32.48
2024-11-18T16:00,26.63
2024-11-19T00:00,36.9
2024-11-19T08:00,21.02
2024-11-19T16:00,17.28
2024-11-20T00:00,16.75
2024-11-20T08:00,11.72
2024-11-20T16:00,11.18
2024-11-21T00:00,12.5
2024-11-21T08:00,26.4
2024-11-21T16:00,49.12
2024-11-22T00:00,41.69
2024-11-22T08:00,24.1
2024-11-22T16:00,16.31
2024-11-23T00:00,36.38
2024-11-23T08:00,36.84
2024-11-23T16:00,26.17
2024-11-24T00:00,36.6
2024-11-24T08:00,33.42
2024-11-24T16:00,24.94
2024-11-25T00:00,26.79
2024-11-25T08:00,28.69
2024-11-25T16:00,19.53
2024-11-26T00:00,14.22
2024-11-26T08:00,14.54
2024-11-26T16:00,14.86
2024-11-27T00:00,17.08
2024-11-27T08:00,11.82
2024-11-27T16:00,21.69
2024-11-28T00:00,20.85
2024-11-28T08:00,13.18
2024-11-28T16:00,14.51
2024-11-29T00:00,20.56
2024-11-29T08:00,26.87
2024-11-29T16:00,25.79
2024-11-30T00:00,28.74
2024-11-30T08:00,25.0
2024-11-30T16:00,28.65
2024-12-01T00:00,19.21
2024-12-01T08:00,33.02
2024-12-01T16:00,49.3
2024-12-02T00:00,45.21
2024-12-02T08:00,47.98
2024-12-02T16:00,47.85
2024-12-03T00:00,62.9
2024-12-03T08:00,49.66
2024-12-03T16:00,53.32
2024-12-04T00:00,41.53
2024-12-04T08:00,60.64
2024-12-04T16:00,41.74
2024-12-05T00:00,71.49
2024-12-05T08:00,68.34
2024-12-05T16:00,53.1
2024-12-06T00:00,57.21
2024-12-06T08:00,18.77
2024-12-06T16:00,54.5
2024-12-07T00:00,39.94
2024-12-07T08:00,49.97
2024-12-07T16:00,52.06
2024-12-08T00:00,35.03
2024-12-08T08:00,29.0
2024-12-08T16:00,33.38
2024-12-09T00:00,20.93
2024-12-09T08:00,17.8
2024-12-09T16:00,9.78
2024-12-10T00:00,10.59
2024-12-10T08:00,8.43
2024-12-10T16:00,9.45
2024-12-11T00:00,9.51
2024-12-11T08:00,9.09
2024-12-11T16:00,10.59
2024-12-12T00:00,11.48
2024-12-12T08:00,9.95
2024-12-12T16:00,10.84
2024-12-13T00:00,9.14
2024-12-13T08:00,11.91
2024-12-13T16:00,12.41
2024-12-14T00:00,10.69
2024-12-14T08:00,12.1
2024-12-14T16:00,10.39
2024-12-15T00:00,11.51
2024-12-15T08:00,12.5
2024-12-15T16:00,12.62
2024-12-16T00:00,13.39
2024-12-16T08:00,13.09
2024-12-16T16:00,12.17
2024-12-17T00:00,9.34
2024-12-17T08:00,12.25
2024-12-17T16:00,11.31
2024-12-18T00:00,10.88
2024-12-18T08:00,7.31
2024-12-18T16:00,5.68
2024-12-19T00:00,5.41
2024-12-19T08:00,7.35
2024-12-19T16:00,1.59
2024-12-20T00:00,5.39
2024-12-20T08:00,-2.66
2024-12-20T16:00,-7.15
2024-12-21T00:00,-2.14
2024-12-21T08:00,4.81
2024-12-21T16:00,-3.9
2024-12-22T00:00,3.86
2024-12-22T08:00,-6.29
2024-12-22T16:00,-1.25
2024-12-23T00:00,3.2
2024-12-23T08:00,6.13
2024-12-23T16:00,6.99
2024-12-24T00:00,6.85
2024-12-24T08:00,4.23
2024-12-24T16:00,5.6
2024-12-25T00:00,3.02
2024-12-25T08:00,6.39
2024-12-25T16:00,5.63
2024-12-26T00:00,9.26
2024-12-26T08:00,4.78
2024-12-26T16:00,7.59
2024-12-27T00:00,6.68
2024-12-27T08:00,-5.8
2024-12-27T16:00,7.47
2024-12-28T00:00,4.99
2024-12-28T08:00,1.61
2024-12-28T16:00,4.31
2024-12-29T00:00,2.72
2024-12-29T08:00,8.38
2024-12-29T16:00,9.11
2024-12-30T00:00,8.34
2024-12-30T08:00,7.93
2024-12-30T16:00,6.18
2024-12-31T00:00,4.24
2024-12-31T08:00,5.78
2024-12-31T16:00,-0.57
2025-01-01T00:00,4.18
2025-01-01T08:00,4.62
2025-01-01T16:00,10.93
2025-01-02T00:00,9.41
2025-01-02T08:00,8.54
2025-01-02T16:00,11.83
2025-01-03T00:00,2.05
2025-01-03T08:00,-6.92
2025-01-03T16:00,-3.12
2025-01-04T00:00,8.17
2025-01-04T08:00,7.89
2025-01-04T16:00,7.42
2025-01-05T00:00,-2.0
2025-01-05T08:00,10.3
2025-01-05T16:00,3.75
2025-01-06T00:00,0.46
2025-01-06T08:00,7.54
2025-01-06T16:00,2.22
2025-01-07T00:00,6.09
2025-01-07T08:00,6.85
2025-01-07T16:00,5.18
2025-01-08T00:00,8.22
2025-01-08T08:00,0.53
2025-01-08T16:00,-2.37
2025-01-09T00:00,8.78
2025-01-09T08:00,1.92
2025-01-09T16:00,1.2
2025-01-10T00:00,-1.84
2025-01-10T08:00,5.49
2025-01-10T16:00,3.12
2025-01-11T00:00,1.03
2025-01-11T08:00,3.61
2025-01-11T16:00,6.48
2025-01-12T00:00,0.97
2025-01-12T08:00,7.83
2025-01-12T16:00,10.15
2025-01-13T00:00,4.85
2025-01-13T08:00,4.15
2025-01-13T16:00,1.88
2025-01-14T00:00,1.06
2025-01-14T08:00,6.8
2025-01-14T16:00,7.19
2025-01-15T00:00,0.11
2025-01-15T08:00,-0.38
2025-01-15T16:00,9.6
2025-01-16T00:00,9.35
2025-01-16T08:00,11.05
2025-01-16T16:00,8.55
2025-01-17T00:00,10.58
2025-01-17T08:00,9.83
2025-01-17T16:00,8.44
2025-01-18T00:00,-0.66
2025-01-18T08:00,7.44
2025-01-18T16:00,10.14
2025-01-19T00:00,8.77
2025-01-19T08:00,6.9
2025-01-19T16:00,-102.5
2025-01-20T00:00,6.47
2025-01-20T08:00,10.44
2025-01-20T16:00,-8.32
2025-01-21T00:00,10.48
2025-01-21T08:00,4.06
2025-01-21T16:00,8.37
2025-01-22T00:00,0.93
2025-01-22T08:00,7.75
2025-01-22T16:00,10.84
2025-01-23T00:00,9.12
2025-01-23T08:00,-1.5
2025-01-23T16:00,5.41
2025-01-24T00:00,9.51
2025-01-24T08:00,9.17
2025-01-24T16:00,1.82
2025-01-25T00:00,-0.83
2025-01-25T08:00,-5.08
2025-01-25T16:00,11.45
2025-01-26T00:00,10.38
2025-01-26T08:00,6.77
2025-01-26T16:00,-0.93
2025-01-27T00:00,8.45
2025-01-27T08:00,-9.91
2025-01-27T16:00,10.44
2025-01-28T00:00,-0.41
2025-01-28T08:00,7.44
2025-01-28T16:00,9.44
2025-01-29T00:00,8.63
2025-01-29T08:00,2.77
2025-01-29T16:00,5.95
2025-01-30T00:00,10.73
2025-01-30T08:00,6.19
2025-01-30T16:00,2.6
2025-01-31T00:00,3.39
2025-01-31T08:00,7.96
2025-01-31T16:00,-1.65
2025-02-01T00:00,5.86
2025-02-01T08:00,1.42
2025-02-01T16:00,-0.77
2025-02-02T00:00,1.88
2025-02-02T08:00,3.51
2025-02-02T16:00,-1.87
2025-02-03T00:00,-16.16
2025-02-03T08:00,-11.08
2025-02-03T16:00,-48.6
2025-02-04T00:00,0.95
2025-02-04T08:00,5.93
2025-02-04T16:00,-0.03
2025-02-05T00:00,-0.18
2025-02-05T08:00,-6.04
2025-02-05T16:00,-2.56
2025-02-06T00:00,-3.35
2025-02-06T08:00,2.83
2025-02-06T16:00,0.59
2025-02-07T00:00,-3.72
2025-02-07T08:00,-2.51
2025-02-07T16:00,-1.17
2025-02-08T00:00,-0.33
2025-02-08T08:00,3.0
2025-02-08T16:00,-10.16
