date,value1
2025-04-07T00:00,4.22
2025-04-07T08:00,3.75
2025-04-07T16:00,4.3
2025-04-08T00:00,4.06
2025-04-08T08:00,4.35
2025-04-08T16:00,3.9
2025-04-09T00:00,3.9
2025-04-09T08:00,4.4
2025-04-09T16:00,3.65
2025-04-10T00:00,4.45
2025-04-10T08:00,4.5
2025-04-10T16:00,4.79
2025-04-11T00:00,4.8
2025-04-11T08:00,4.8
2025-04-11T16:00,186.13
2025-04-12T00:00,5.01
2025-04-12T08:00,151.91
2025-04-12T16:00,8.08
2025-04-13T00:00,8.62
2025-04-13T08:00,6.18
2025-04-13T16:00,9.75
2025-04-14T00:00,5.48
2025-04-14T08:00,10.02
2025-04-14T16:00,5.47
2025-04-15T00:00,5.47
2025-04-15T08:00,2.88
2025-04-15T16:00,44.14
2025-04-16T00:00,37.75
2025-04-16T08:00,5.51
2025-04-16T16:00,8.29
2025-04-17T00:00,14.9
2025-04-17T08:00,5.41
2025-04-17T16:00,6.33
2025-04-18T00:00,5.4
2025-04-18T08:00,15.71
2025-04-18T16:00,-8.95
2025-04-19T00:00,5.36
2025-04-19T08:00,6.27
2025-04-19T16:00,56.57
2025-04-20T00:00,77.49
2025-04-20T08:00,-13.77
2025-04-20T16:00,-29.57
2025-04-21T00:00,4.2
2025-04-21T08:00,2.3
2025-04-21T16:00,37.26
2025-04-22T00:00,1.89
2025-04-22T08:00,8.6
2025-04-22T16:00,59.52
2025-04-23T00:00,10.89
2025-04-23T08:00,55.61
2025-04-23T16:00,41.25
2025-04-24T00:00,5.42
2025-04-24T08:00,79.93
2025-04-24T16:00,49.75
2025-04-25T00:00,82.27
2025-04-25T08:00,34.76
2025-04-25T16:00,-3.13
2025-04-26T00:00,73.16
2025-04-26T08:00,85.9
2025-04-26T16:00,37.74
2025-04-27T00:00,33.08
2025-04-27T08:00,5.84
2025-04-27T16:00,136.51
2025-04-28T00:00,5.32
2025-04-28T08:00,13.97
2025-04-28T16:00,6.75
2025-04-29T00:00,45.57
2025-04-29T08:00,14.91
2025-04-29T16:00,-30.93
2025-04-30T00:00,34.13
2025-04-30T08:00,19.83
2025-04-30T16:00,6.48
2025-05-01T00:00,9.48
2025-05-01T08:00,7.21
2025-05-01T16:00,20.65
2025-05-02T00:00,-24.42
2025-05-02T08:00,-124.23
2025-05-02T16:00,-246.65
2025-05-03T00:00,-79.35
2025-05-03T08:00,-11.25
2025-05-03T16:00,-32.54
2025-05-04T00:00,3.86
2025-05-04T08:00,7.88
2025-05-04T16:00,6.51
2025-05-05T00:00,6.32
2025-05-05T08:00,5.46
2025-05-05T16:00,-33.06
2025-05-06T00:00,5.32
2025-05-06T08:00,5.29
2025-05-06T16:00,5.29
2025-05-07T00:00,-0.06
2025-05-07T08:00,-0.21
2025-05-07T16:00,5.05
2025-05-08T00:00,2.05
2025-05-08T08:00,5.47
2025-05-08T16:00,18.9
2025-05-09T00:00,5.47
2025-05-09T08:00,28.99
2025-05-09T16:00,33.29
2025-05-10T00:00,5.47
2025-05-10T08:00,2.16
2025-05-10T16:00,12.26
2025-05-11T00:00,5.47
2025-05-11T08:00,5.47
2025-05-11T16:00,5.47
2025-05-12T00:00,5.47
2025-05-12T08:00,5.47
2025-05-12T16:00,5.47
2025-05-13T00:00,5.47
2025-05-13T08:00,5.46
2025-05-13T16:00,6.58
2025-05-14T00:00,5.46
2025-05-14T08:00,5.46
2025-05-14T16:00,5.54
2025-05-15T00:00,5.46
2025-05-15T08:00,5.46
2025-05-15T16:00,5.46
2025-05-16T00:00,5.46
2025-05-16T08:00,5.46
2025-05-16T16:00,5.46
2025-05-17T00:00,5.46
2025-05-17T08:00,3.89
2025-05-17T16:00,5.46
2025-05-18T00:00,5.45
2025-05-18T08:00,5.45
2025-05-18T16:00,5.45
2025-05-19T00:00,5.45
