date,value1
2024-10-18T08:00,7.3
2024-10-18T16:00,8.17
2024-10-19T00:00,11.78
2024-10-19T08:00,8.37
2024-10-19T16:00,7.15
2024-10-20T00:00,17.85
2024-10-20T08:00,22.24
2024-10-20T16:00,19.25
2024-10-21T00:00,18.76
2024-10-21T08:00,8.62
2024-10-21T16:00,7.29
2024-10-22T00:00,6.93
2024-10-22T08:00,7.43
2024-10-22T16:00,10.43
2024-10-23T00:00,7.92
2024-10-23T08:00,7.98
2024-10-23T16:00,12.4
2024-10-24T00:00,7.03
2024-10-24T08:00,6.98
2024-10-24T16:00,19.42
2024-10-25T00:00,13.4
2024-10-25T08:00,12.55
2024-10-25T16:00,6.28
2024-10-26T00:00,6.22
2024-10-26T08:00,7.34
2024-10-26T16:00,6.46
2024-10-27T00:00,7.18
2024-10-27T08:00,7.34
2024-10-27T16:00,10.23
2024-10-28T00:00,7.14
2024-10-28T08:00,6.96
2024-10-28T16:00,7.6
2024-10-29T00:00,6.45
2024-10-29T08:00,9.21
2024-10-29T16:00,9.54
2024-10-30T00:00,7.77
2024-10-30T08:00,7.12
2024-10-30T16:00,7.03
2024-10-31T00:00,7.21
2024-10-31T08:00,8.54
2024-10-31T16:00,10.4
2024-11-01T00:00,10.24
2024-11-01T08:00,7.13
2024-11-01T16:00,8.77
2024-11-02T00:00,7.7
2024-11-02T08:00,8.19
2024-11-02T16:00,7.23
2024-11-03T00:00,7.6
2024-11-03T08:00,6.86
2024-11-03T16:00,6.26
2024-11-04T00:00,7.22
2024-11-04T08:00,7.54
2024-11-04T16:00,6.79
2024-11-05T00:00,6.67
2024-11-05T08:00,6.94
2024-11-05T16:00,6.85
2024-11-06T00:00,13.75
2024-11-06T08:00,18.39
2024-11-06T16:00,27.92
2024-11-07T00:00,33.23
2024-11-07T08:00,13.12
2024-11-07T16:00,11.07
2024-11-08T00:00,11.74
2024-11-08T08:00,9.04
2024-11-08T16:00,11.55
2024-11-09T00:00,13.43
2024-11-09T08:00,13.41
2024-11-09T16:00,55.64
2024-11-10T00:00,55.26
2024-11-10T08:00,44.26
2024-11-10T16:00,34.42
2024-11-11T00:00,35.57
2024-11-11T08:00,8.59
2024-11-11T16:00,46.95
2024-11-12T00:00,36.31
2024-11-12T08:00,19.97
2024-11-12T16:00,22.39
2024-11-13T00:00,11.27
2024-11-13T08:00,24.14
2024-11-13T16:00,11.37
2024-11-14T00:00,23.54
2024-11-14T08:00,30.36
2024-11-14T16:00,16.97
2024-11-15T00:00,15.25
2024-11-15T08:00,18.32
2024-11-15T16:00,28.79
2024-11-16T00:00,18.15
2024-11-16T08:00,12.66
2024-11-16T16:00,35.98
2024-11-17T00:00,41.31
2024-11-17T08:00,47.63
2024-11-17T16:00,33.71
2024-11-18T00:00,62.52
2024-11-18T08:00,46.09
2024-11-18T16:00,45.46
2024-11-19T00:00,39.44
2024-11-19T08:00,26.85
2024-11-19T16:00,22.79
2024-11-20T00:00,18.69
2024-11-20T08:00,10.32
2024-11-20T16:00,8.68
2024-11-21T00:00,7.91
2024-11-21T08:00,9.77
2024-11-21T16:00,21.09
2024-11-22T00:00,17.27
2024-11-22T08:00,16.83
2024-11-22T16:00,24.3
2024-11-23T00:00,69.19
2024-11-23T08:00,61.45
2024-11-23T16:00,25.25
2024-11-24T00:00,66.63
2024-11-24T08:00,19.57
2024-11-24T16:00,40.84
2024-11-25T00:00,39.32
2024-11-25T08:00,31.5
2024-11-25T16:00,29.5
2024-11-26T00:00,30.99
2024-11-26T08:00,9.74
2024-11-26T16:00,36.59
2024-11-27T00:00,34.26
2024-11-27T08:00,32.12
2024-11-27T16:00,38.33
2024-11-28T00:00,30.07
2024-11-28T08:00,8.53
2024-11-28T16:00,36.81
2024-11-29T00:00,30.78
2024-11-29T08:00,58.33
2024-11-29T16:00,50.1
2024-11-30T00:00,43.16
2024-11-30T08:00,36.72
2024-11-30T16:00,46.16
2024-12-01T00:00,27.28
2024-12-01T08:00,48.47
2024-12-01T16:00,30.18
2024-12-02T00:00,21.71
2024-12-02T08:00,18.19
2024-12-02T16:00,57.99
2024-12-03T00:00,50.5
2024-12-03T08:00,35.43
2024-12-03T16:00,76.68
2024-12-04T00:00,77.44
2024-12-04T08:00,83.85
2024-12-04T16:00,62.85
2024-12-05T00:00,67.27
2024-12-05T08:00,55.72
2024-12-05T16:00,57.14
2024-12-06T00:00,75.78
2024-12-06T08:00,31.24
2024-12-06T16:00,57.09
2024-12-07T00:00,52.23
2024-12-07T08:00,88.12
2024-12-07T16:00,106.2
2024-12-08T00:00,54.19
2024-12-08T08:00,59.41
2024-12-08T16:00,70.7
2024-12-09T00:00,39.16
2024-12-09T08:00,24.68
2024-12-09T16:00,3.63
2024-12-10T00:00,7.54
2024-12-10T08:00,6.61
2024-12-10T16:00,7.0
2024-12-11T00:00,8.7
2024-12-11T08:00,7.46
2024-12-11T16:00,9.77
2024-12-12T00:00,9.47
2024-12-12T08:00,9.55
2024-12-12T16:00,12.17
2024-12-13T00:00,9.58
2024-12-13T08:00,17.83
2024-12-13T16:00,11.97
2024-12-14T00:00,8.93
2024-12-14T08:00,9.22
2024-12-14T16:00,15.35
2024-12-15T00:00,9.57
2024-12-15T08:00,9.42
2024-12-15T16:00,10.21
2024-12-16T00:00,9.92
2024-12-16T08:00,18.16
2024-12-16T16:00,28.96
2024-12-17T00:00,34.67
2024-12-17T08:00,9.7
2024-12-17T16:00,14.34
2024-12-18T00:00,13.3
2024-12-18T08:00,21.66
2024-12-18T16:00,6.61
2024-12-19T00:00,7.17
2024-12-19T08:00,8.71
2024-12-19T16:00,9.36
2024-12-20T00:00,7.96
2024-12-20T08:00,4.87
2024-12-20T16:00,8.94
2024-12-21T00:00,9.1
2024-12-21T08:00,9.23
2024-12-21T16:00,8.65
2024-12-22T00:00,8.66
2024-12-22T08:00,8.74
2024-12-22T16:00,9.36
2024-12-23T00:00,9.1
2024-12-23T08:00,9.72
2024-12-23T16:00,9.27
2024-12-24T00:00,8.53
2024-12-24T08:00,10.55
2024-12-24T16:00,11.23
2024-12-25T00:00,10.56
2024-12-25T08:00,9.89
2024-12-25T16:00,8.61
2024-12-26T00:00,11.11
2024-12-26T08:00,10.18
2024-12-26T16:00,10.02
2024-12-27T00:00,9.39
2024-12-27T08:00,9.12
2024-12-27T16:00,8.9
2024-12-28T00:00,8.43
2024-12-28T08:00,8.8
2024-12-28T16:00,11.48
2024-12-29T00:00,10.05
2024-12-29T08:00,8.86
2024-12-29T16:00,7.76
2024-12-30T00:00,10.08
2024-12-30T08:00,7.09
2024-12-30T16:00,8.35
2024-12-31T00:00,7.78
2024-12-31T08:00,8.41
2024-12-31T16:00,8.59
2025-01-01T00:00,8.7
2025-01-01T08:00,8.17
2025-01-01T16:00,9.13
2025-01-02T00:00,10.51
2025-01-02T08:00,13.19
2025-01-02T16:00,11.12
2025-01-03T00:00,10.04
2025-01-03T08:00,14.25
2025-01-03T16:00,20.26
2025-01-04T00:00,19.05
2025-01-04T08:00,8.03
2025-01-04T16:00,8.97
2025-01-05T00:00,8.18
2025-01-05T08:00,9.72
2025-01-05T16:00,8.14
2025-01-06T00:00,19.31
2025-01-06T08:00,14.83
2025-01-06T16:00,8.84
2025-01-07T00:00,9.25
2025-01-07T08:00,8.07
2025-01-07T16:00,7.72
2025-01-08T00:00,7.42
2025-01-08T08:00,5.65
2025-01-08T16:00,3.33
2025-01-09T00:00,7.56
2025-01-09T08:00,7.24
2025-01-09T16:00,8.95
2025-01-10T00:00,7.01
2025-01-10T08:00,7.3
2025-01-10T16:00,4.55
2025-01-11T00:00,8.03
2025-01-11T08:00,7.26
2025-01-11T16:00,5.53
