date,value1
2024-10-14T00:00,7.45
2024-10-14T08:00,12.03
2024-10-14T16:00,16.33
2024-10-15T00:00,14.87
2024-10-15T08:00,11.49
2024-10-15T16:00,9.9
2024-10-16T00:00,10.31
2024-10-16T08:00,11.05
2024-10-16T16:00,10.31
2024-10-17T00:00,10.86
2024-10-17T08:00,10.06
2024-10-17T16:00,10.43
2024-10-18T00:00,10.88
2024-10-18T08:00,10.83
2024-10-18T16:00,13.35
2024-10-19T00:00,10.48
2024-10-19T08:00,10.65
2024-10-19T16:00,13.29
2024-10-20T00:00,11.72
2024-10-20T08:00,11.36
2024-10-20T16:00,14.68
2024-10-21T00:00,15.13
2024-10-21T08:00,13.79
2024-10-21T16:00,11.59
2024-10-22T00:00,11.51
2024-10-22T08:00,9.63
2024-10-22T16:00,8.46
2024-10-23T00:00,11.29
2024-10-23T08:00,9.63
2024-10-23T16:00,11.21
2024-10-24T00:00,12.37
2024-10-24T08:00,10.09
2024-10-24T16:00,10.93
2024-10-25T00:00,10.88
2024-10-25T08:00,9.76
2024-10-25T16:00,9.52
2024-10-26T00:00,9.14
2024-10-26T08:00,6.26
2024-10-26T16:00,9.77
2024-10-27T00:00,10.31
2024-10-27T08:00,10.13
2024-10-27T16:00,10.84
2024-10-28T00:00,10.08
2024-10-28T08:00,12.15
2024-10-28T16:00,11.37
2024-10-29T00:00,12.57
2024-10-29T08:00,12.65
2024-10-29T16:00,11.4
2024-10-30T00:00,13.79
2024-10-30T08:00,12.42
2024-10-30T16:00,13.19
2024-10-31T00:00,10.83
2024-10-31T08:00,9.91
2024-10-31T16:00,9.94
2024-11-01T00:00,11.11
2024-11-01T08:00,10.08
2024-11-01T16:00,9.82
2024-11-02T00:00,9.08
2024-11-02T08:00,7.25
2024-11-02T16:00,5.1
2024-11-03T00:00,6.73
2024-11-03T08:00,9.34
2024-11-03T16:00,8.96
2024-11-04T00:00,6.25
2024-11-04T08:00,5.09
2024-11-04T16:00,9.64
2024-11-05T00:00,10.06
2024-11-05T08:00,9.98
2024-11-05T16:00,9.8
2024-11-06T00:00,12.3
2024-11-06T08:00,11.34
