date,value1
2025-01-17T16:00,10.48
2025-01-18T00:00,42.76
2025-01-18T08:00,25.23
2025-01-18T16:00,9.09
2025-01-19T00:00,7.53
2025-01-19T08:00,12.19
2025-01-19T16:00,4.8
2025-01-20T00:00,6.89
2025-01-20T08:00,9.71
2025-01-20T16:00,8.69
2025-01-21T00:00,9.92
2025-01-21T08:00,6.4
2025-01-21T16:00,10.11
2025-01-22T00:00,12.3
2025-01-22T08:00,11.62
2025-01-22T16:00,10.08
2025-01-23T00:00,12.58
2025-01-23T08:00,28.33
2025-01-23T16:00,13.6
2025-01-24T00:00,8.29
2025-01-24T08:00,-0.51
2025-01-24T16:00,-2.82
2025-01-25T00:00,7.52
2025-01-25T08:00,10.18
2025-01-25T16:00,9.87
2025-01-26T00:00,9.55
2025-01-26T08:00,10.34
2025-01-26T16:00,10.3
2025-01-27T00:00,-59.59
2025-01-27T08:00,10.3
2025-01-27T16:00,9.61
2025-01-28T00:00,9.23
2025-01-28T08:00,9.69
2025-01-28T16:00,9.21
2025-01-29T00:00,10.27
2025-01-29T08:00,10.85
2025-01-29T16:00,9.87
2025-01-30T00:00,-17.07
2025-01-30T08:00,12.04
2025-01-30T16:00,9.36
2025-01-31T00:00,14.77
2025-01-31T08:00,11.48
2025-01-31T16:00,28.15
2025-02-01T00:00,13.78
2025-02-01T08:00,9.7
2025-02-01T16:00,8.4
2025-02-02T00:00,9.01
2025-02-02T08:00,20.35
2025-02-02T16:00,13.13
2025-02-03T00:00,7.96
2025-02-03T08:00,9.58
2025-02-03T16:00,10.47
2025-02-04T00:00,9.16
2025-02-04T08:00,10.05
2025-02-04T16:00,10.46
2025-02-05T00:00,2.89
2025-02-05T08:00,-58.55
2025-02-05T16:00,-3.72
2025-02-06T00:00,10.26
2025-02-06T08:00,9.41
2025-02-06T16:00,10.84
2025-02-07T00:00,10.05
2025-02-07T08:00,12.99
2025-02-07T16:00,11.68
2025-02-08T00:00,-0.74
2025-02-08T08:00,10.19
2025-02-08T16:00,4.46
2025-02-09T00:00,7.98
2025-02-09T08:00,4.44
2025-02-09T16:00,7.86
2025-02-10T00:00,9.53
2025-02-10T08:00,11.02
2025-02-10T16:00,12.91
2025-02-11T00:00,11.25
2025-02-11T08:00,11.15
2025-02-11T16:00,8.51
2025-02-12T00:00,9.78
2025-02-12T08:00,10.25
2025-02-12T16:00,10.59
2025-02-13T00:00,12.01
2025-02-13T08:00,9.87
2025-02-13T16:00,10.26
2025-02-14T00:00,11.56
2025-02-14T08:00,9.79
2025-02-14T16:00,10.4
2025-02-15T00:00,10.53
2025-02-15T08:00,11.59
2025-02-15T16:00,21.8
2025-02-16T00:00,10.38
2025-02-16T08:00,9.81
2025-02-16T16:00,11.02
2025-02-17T00:00,10.68
2025-02-17T08:00,9.85
2025-02-17T16:00,9.11
2025-02-18T00:00,9.47
2025-02-18T08:00,9.92
2025-02-18T16:00,7.78
2025-02-19T00:00,9.18
2025-02-19T08:00,8.45
2025-02-19T16:00,11.81
2025-02-20T00:00,12.72
2025-02-20T08:00,8.33
2025-02-20T16:00,10.47
2025-02-21T00:00,9.7
2025-02-21T08:00,9.97
2025-02-21T16:00,8.2
2025-02-22T00:00,9.38
2025-02-22T08:00,-2.59
2025-02-22T16:00,9.51
2025-02-23T00:00,9.32
2025-02-23T08:00,9.46
2025-02-23T16:00,7.41
2025-02-24T00:00,-7.72
2025-02-24T08:00,5.55
2025-02-24T16:00,7.94
2025-02-25T00:00,9.09
2025-02-25T08:00,9.2
2025-02-25T16:00,14.85
2025-02-26T00:00,9.06
2025-02-26T08:00,9.91
2025-02-26T16:00,22.38
2025-02-27T00:00,7.47
2025-02-27T08:00,8.6
2025-02-27T16:00,27.56
2025-02-28T00:00,-0.24
2025-02-28T08:00,7.31
2025-02-28T16:00,6.27
2025-03-01T00:00,9.62
2025-03-01T08:00,18.35
2025-03-01T16:00,8.36
2025-03-02T00:00,7.12
2025-03-02T08:00,8.4
2025-03-02T16:00,9.78
2025-03-03T00:00,8.63
2025-03-03T08:00,14.32
2025-03-03T16:00,89.2
2025-03-04T00:00,122.14
2025-03-04T08:00,12.07
2025-03-04T16:00,4.08
2025-03-05T00:00,2.16
2025-03-05T08:00,70.83
2025-03-05T16:00,59.81
2025-03-06T00:00,-0.67
2025-03-06T08:00,18.84
2025-03-06T16:00,10.3
2025-03-07T00:00,4.95
2025-03-07T08:00,18.84
2025-03-07T16:00,17.91
2025-03-08T00:00,11.93
2025-03-08T08:00,14.78
2025-03-08T16:00,-4.03
2025-03-09T00:00,20.0
2025-03-09T08:00,7.26
2025-03-09T16:00,-6.7
2025-03-10T00:00,5.38
2025-03-10T08:00,10.9
2025-03-10T16:00,9.01
2025-03-11T00:00,8.49
2025-03-11T08:00,9.14
2025-03-11T16:00,8.07
2025-03-12T00:00,7.75
2025-03-12T08:00,10.44
2025-03-12T16:00,56.09
2025-03-13T00:00,48.03
2025-03-13T08:00,61.12
2025-03-13T16:00,62.79
2025-03-14T00:00,8.04
2025-03-14T08:00,56.54
2025-03-14T16:00,10.28
2025-03-15T00:00,8.59
2025-03-15T08:00,12.28
2025-03-15T16:00,9.55
2025-03-16T00:00,9.26
2025-03-16T08:00,12.24
2025-03-16T16:00,9.36
2025-03-17T00:00,9.59
2025-03-17T08:00,8.15
2025-03-17T16:00,11.41
2025-03-18T00:00,8.26
2025-03-18T08:00,6.88
2025-03-18T16:00,7.5
2025-03-19T00:00,5.85
2025-03-19T08:00,12.78
2025-03-19T16:00,8.53
2025-03-20T00:00,7.19
2025-03-20T08:00,7.84
2025-03-20T16:00,7.46
2025-03-21T00:00,9.63
2025-03-21T08:00,9.04
2025-03-21T16:00,-19.32
2025-03-22T00:00,-10.3
2025-03-22T08:00,1.52
2025-03-22T16:00,9.97
2025-03-23T00:00,5.47
2025-03-23T08:00,10.26
2025-03-23T16:00,9.38
2025-03-24T00:00,4.22
2025-03-24T08:00,3.97
2025-03-24T16:00,8.69
2025-03-25T00:00,8.72
2025-03-25T08:00,-1.83
2025-03-25T16:00,10.64
2025-03-26T00:00,1.95
2025-03-26T08:00,8.3
2025-03-26T16:00,8.35
2025-03-27T00:00,6.79
2025-03-27T08:00,9.68
2025-03-27T16:00,8.18
2025-03-28T00:00,3.59
2025-03-28T08:00,9.65
2025-03-28T16:00,10.74
2025-03-29T00:00,9.29
2025-03-29T08:00,11.79
2025-03-29T16:00,9.97
2025-03-30T00:00,2.01
2025-03-30T08:00,10.02
2025-03-30T16:00,6.04
2025-03-31T00:00,8.85
2025-03-31T08:00,9.65
2025-03-31T16:00,9.63
2025-04-01T00:00,5.06
2025-04-01T08:00,10.07
2025-04-01T16:00,9.28
2025-04-02T00:00,9.57
