date,value1
2024-10-16T16:00,12.11
2024-10-17T00:00,11.26
2024-10-17T08:00,10.96
2024-10-17T16:00,11.47
2024-10-18T00:00,11.39
2024-10-18T08:00,11.85
2024-10-18T16:00,12.52
2024-10-19T00:00,11.81
2024-10-19T08:00,11.46
2024-10-19T16:00,11.13
2024-10-20T00:00,11.76
2024-10-20T08:00,11.22
2024-10-20T16:00,11.32
2024-10-21T00:00,11.19
2024-10-21T08:00,10.59
2024-10-21T16:00,10.75
2024-10-22T00:00,10.58
2024-10-22T08:00,10.7
2024-10-22T16:00,11.34
2024-10-23T00:00,11.82
2024-10-23T08:00,10.57
2024-10-23T16:00,11.73
2024-10-24T00:00,10.81
2024-10-24T08:00,10.57
2024-10-24T16:00,11.92
2024-10-25T00:00,11.83
2024-10-25T08:00,11.04
2024-10-25T16:00,11.74
2024-10-26T00:00,10.68
2024-10-26T08:00,11.11
2024-10-26T16:00,10.57
2024-10-27T00:00,10.43
2024-10-27T08:00,11.4
2024-10-27T16:00,-1.67
2024-10-28T00:00,10.19
2024-10-28T08:00,10.04
2024-10-28T16:00,8.92
2024-10-29T00:00,10.45
2024-10-29T08:00,11.43
2024-10-29T16:00,10.68
2024-10-30T00:00,12.35
2024-10-30T08:00,9.81
2024-10-30T16:00,9.61
2024-10-31T00:00,9.61
2024-10-31T08:00,10.12
2024-10-31T16:00,10.28
2024-11-01T00:00,11.1
2024-11-01T08:00,8.98
2024-11-01T16:00,6.95
2024-11-02T00:00,6.07
2024-11-02T08:00,9.25
2024-11-02T16:00,12.2
2024-11-03T00:00,11.71
2024-11-03T08:00,10.02
2024-11-03T16:00,8.49
2024-11-04T00:00,9.65
2024-11-04T08:00,10.31
2024-11-04T16:00,11.7
2024-11-05T00:00,11.36
2024-11-05T08:00,12.83
2024-11-05T16:00,11.05
2024-11-06T00:00,12.14
2024-11-06T08:00,9.64
2024-11-06T16:00,8.88
2024-11-07T00:00,8.06
2024-11-07T08:00,12.44
2024-11-07T16:00,11.13
2024-11-08T00:00,11.83
2024-11-08T08:00,11.03
2024-11-08T16:00,10.91
2024-11-09T00:00,11.69
2024-11-09T08:00,11.8
2024-11-09T16:00,11.0
2024-11-10T00:00,24.03
2024-11-10T08:00,36.23
2024-11-10T16:00,26.8
2024-11-11T00:00,11.48
2024-11-11T08:00,31.77
2024-11-11T16:00,39.07
2024-11-12T00:00,75.3
2024-11-12T08:00,55.46
2024-11-12T16:00,54.43
2024-11-13T00:00,22.66
2024-11-13T08:00,41.53
2024-11-13T16:00,16.17
2024-11-14T00:00,32.81
2024-11-14T08:00,15.09
2024-11-14T16:00,16.98
2024-11-15T00:00,13.4
2024-11-15T08:00,11.69
2024-11-15T16:00,19.35
2024-11-16T00:00,19.37
2024-11-16T08:00,21.86
2024-11-16T16:00,26.52
2024-11-17T00:00,36.31
2024-11-17T08:00,42.28
2024-11-17T16:00,30.55
2024-11-18T00:00,47.88
2024-11-18T08:00,45.52
2024-11-18T16:00,32.93
2024-11-19T00:00,44.44
2024-11-19T08:00,19.36
2024-11-19T16:00,11.23
2024-11-20T00:00,18.2
2024-11-20T08:00,13.59
2024-11-20T16:00,10.25
2024-11-21T00:00,11.75
2024-11-21T08:00,19.14
2024-11-21T16:00,42.24
2024-11-22T00:00,41.41
2024-11-22T08:00,39.56
2024-11-22T16:00,24.29
2024-11-23T00:00,60.72
2024-11-23T08:00,33.85
2024-11-23T16:00,27.03
2024-11-24T00:00,56.72
2024-11-24T08:00,30.43
2024-11-24T16:00,37.01
2024-11-25T00:00,29.95
2024-11-25T08:00,22.67
2024-11-25T16:00,18.32
2024-11-26T00:00,14.47
2024-11-26T08:00,12.06
2024-11-26T16:00,11.61
2024-11-27T00:00,30.34
2024-11-27T08:00,24.97
2024-11-27T16:00,32.72
2024-11-28T00:00,47.35
2024-11-28T08:00,22.84
2024-11-28T16:00,40.42
2024-11-29T00:00,37.16
2024-11-29T08:00,46.09
2024-11-29T16:00,63.82
2024-11-30T00:00,52.91
2024-11-30T08:00,30.18
2024-11-30T16:00,49.29
2024-12-01T00:00,15.87
2024-12-01T08:00,54.73
2024-12-01T16:00,54.63
2024-12-02T00:00,40.8
2024-12-02T08:00,36.28
2024-12-02T16:00,38.08
2024-12-03T00:00,110.78
2024-12-03T08:00,61.78
2024-12-03T16:00,85.96
2024-12-04T00:00,94.37
2024-12-04T08:00,111.7
2024-12-04T16:00,103.91
2024-12-05T00:00,130.06
2024-12-05T08:00,128.73
2024-12-05T16:00,85.56
2024-12-06T00:00,103.84
2024-12-06T08:00,57.44
2024-12-06T16:00,75.73
2024-12-07T00:00,99.31
2024-12-07T08:00,107.84
2024-12-07T16:00,98.51
2024-12-08T00:00,88.57
2024-12-08T08:00,106.76
2024-12-08T16:00,110.87
2024-12-09T00:00,40.29
2024-12-09T08:00,27.77
2024-12-09T16:00,8.01
2024-12-10T00:00,10.15
2024-12-10T08:00,8.57
2024-12-10T16:00,7.68
2024-12-11T00:00,6.96
2024-12-11T08:00,10.47
2024-12-11T16:00,7.97
2024-12-12T00:00,11.37
2024-12-12T08:00,12.3
2024-12-12T16:00,12.03
2024-12-13T00:00,10.62
2024-12-13T08:00,13.32
2024-12-13T16:00,12.63
2024-12-14T00:00,11.14
2024-12-14T08:00,10.94
2024-12-14T16:00,10.73
2024-12-15T00:00,11.55
2024-12-15T08:00,11.64
2024-12-15T16:00,13.19
2024-12-16T00:00,9.91
2024-12-16T08:00,13.17
2024-12-16T16:00,13.56
2024-12-17T00:00,12.91
2024-12-17T08:00,14.95
2024-12-17T16:00,12.43
2024-12-18T00:00,11.21
2024-12-18T08:00,12.42
2024-12-18T16:00,6.31
2024-12-19T00:00,3.81
2024-12-19T08:00,7.75
2024-12-19T16:00,-0.13
2024-12-20T00:00,7.82
2024-12-20T08:00,17.55
2024-12-20T16:00,1.58
2024-12-21T00:00,6.92
2024-12-21T08:00,3.02
2024-12-21T16:00,0.08
2024-12-22T00:00,8.06
2024-12-22T08:00,-1.78
2024-12-22T16:00,-3.54
2024-12-23T00:00,10.01
2024-12-23T08:00,10.0
2024-12-23T16:00,13.65
2024-12-24T00:00,2.9
2024-12-24T08:00,18.01
2024-12-24T16:00,16.26
2024-12-25T00:00,19.61
2024-12-25T08:00,12.03
2024-12-25T16:00,14.9
2024-12-26T00:00,12.99
2024-12-26T08:00,23.61
2024-12-26T16:00,27.38
2024-12-27T00:00,19.1
2024-12-27T08:00,15.49
2024-12-27T16:00,11.17
2024-12-28T00:00,14.4
2024-12-28T08:00,13.82
2024-12-28T16:00,12.05
2024-12-29T00:00,12.41
2024-12-29T08:00,15.48
2024-12-29T16:00,14.63
2024-12-30T00:00,15.01
2024-12-30T08:00,1.5
2024-12-30T16:00,4.53
2024-12-31T00:00,3.88
2024-12-31T08:00,5.09
2024-12-31T16:00,4.88
2025-01-01T00:00,5.55
2025-01-01T08:00,6.44
2025-01-01T16:00,10.51
2025-01-02T00:00,10.85
2025-01-02T08:00,10.18
2025-01-02T16:00,7.9
2025-01-03T00:00,8.72
2025-01-03T08:00,20.51
2025-01-03T16:00,14.16
2025-01-04T00:00,13.33
2025-01-04T08:00,21.58
2025-01-04T16:00,10.74
2025-01-05T00:00,13.26
2025-01-05T08:00,15.28
2025-01-05T16:00,14.8
2025-01-06T00:00,20.11
2025-01-06T08:00,22.84
2025-01-06T16:00,12.12
2025-01-07T00:00,21.33
2025-01-07T08:00,10.25
2025-01-07T16:00,7.91
2025-01-08T00:00,8.66
2025-01-08T08:00,9.67
2025-01-08T16:00,7.67
2025-01-09T00:00,8.56
2025-01-09T08:00,9.81
2025-01-09T16:00,9.34
2025-01-10T00:00,8.31
2025-01-10T08:00,9.79
2025-01-10T16:00,9.19
2025-01-11T00:00,8.96
2025-01-11T08:00,9.14
2025-01-11T16:00,8.82
2025-01-12T00:00,9.79
2025-01-12T08:00,11.44
2025-01-12T16:00,9.77
2025-01-13T00:00,9.06
2025-01-13T08:00,8.76
2025-01-13T16:00,7.65
2025-01-14T00:00,8.16
2025-01-14T08:00,9.44
2025-01-14T16:00,7.64
2025-01-15T00:00,8.01
2025-01-15T08:00,9.63
2025-01-15T16:00,9.5
2025-01-16T00:00,9.2
2025-01-16T08:00,10.27
2025-01-16T16:00,10.88
2025-01-17T00:00,9.49
2025-01-17T08:00,11.58
2025-01-17T16:00,11.55
2025-01-18T00:00,9.45
2025-01-18T08:00,11.74
2025-01-18T16:00,11.44
2025-01-19T00:00,11.85
2025-01-19T08:00,13.57
2025-01-19T16:00,10.77
2025-01-20T00:00,12.03
2025-01-20T08:00,12.3
2025-01-20T16:00,12.21
2025-01-21T00:00,14.3
2025-01-21T08:00,12.54
2025-01-21T16:00,12.57
2025-01-22T00:00,11.78
2025-01-22T08:00,17.69
2025-01-22T16:00,13.12
2025-01-23T00:00,13.0
2025-01-23T08:00,14.34
2025-01-23T16:00,12.36
2025-01-24T00:00,11.7
2025-01-24T08:00,11.69
2025-01-24T16:00,10.86
2025-01-25T00:00,13.33
2025-01-25T08:00,14.6
2025-01-25T16:00,11.94
2025-01-26T00:00,16.59
2025-01-26T08:00,11.29
2025-01-26T16:00,12.44
2025-01-27T00:00,8.58
2025-01-27T08:00,7.18
2025-01-27T16:00,8.27
2025-01-28T00:00,7.87
2025-01-28T08:00,8.53
2025-01-28T16:00,8.74
2025-01-29T00:00,9.25
2025-01-29T08:00,9.13
2025-01-29T16:00,6.89
2025-01-30T00:00,8.66
2025-01-30T08:00,10.63
2025-01-30T16:00,10.36
2025-01-31T00:00,11.34
2025-01-31T08:00,10.9
2025-01-31T16:00,12.54
2025-02-01T00:00,10.38
2025-02-01T08:00,10.68
2025-02-01T16:00,9.82
2025-02-02T00:00,8.34
2025-02-02T08:00,8.4
2025-02-02T16:00,5.76
2025-02-03T00:00,-10.03
2025-02-03T08:00,-8.22
2025-02-03T16:00,1.74
2025-02-04T00:00,-6.48
2025-02-04T08:00,5.67
2025-02-04T16:00,6.26
2025-02-05T00:00,5.65
2025-02-05T08:00,-17.38
2025-02-05T16:00,7.15
2025-02-06T00:00,8.0
2025-02-06T08:00,9.2
2025-02-06T16:00,8.3
2025-02-07T00:00,10.47
2025-02-07T08:00,6.85
2025-02-07T16:00,9.78
2025-02-08T00:00,10.67
2025-02-08T08:00,6.17
2025-02-08T16:00,6.21
2025-02-09T00:00,1.39
2025-02-09T08:00,-0.32
2025-02-09T16:00,4.14
