date,value1
2025-02-16T08:00,-4.19
2025-02-16T16:00,6.46
2025-02-17T00:00,-1.16
2025-02-17T08:00,0.32
2025-02-17T16:00,5.2
2025-02-18T00:00,2.41
2025-02-18T08:00,5.48
2025-02-18T16:00,6.72
2025-02-19T00:00,3.48
2025-02-19T08:00,-5.21
2025-02-19T16:00,-1.95
2025-02-20T00:00,5.1
2025-02-20T08:00,4.72
2025-02-20T16:00,6.0
2025-02-21T00:00,5.51
2025-02-21T08:00,5.88
2025-02-21T16:00,34.54
2025-02-22T00:00,-10.62
2025-02-22T08:00,-10.89
2025-02-22T16:00,-9.82
2025-02-23T00:00,1.9
2025-02-23T08:00,-1.11
2025-02-23T16:00,-0.59
2025-02-24T00:00,1.95
2025-02-24T08:00,1.04
2025-02-24T16:00,-2.24
2025-02-25T00:00,-8.27
2025-02-25T08:00,-12.33
2025-02-25T16:00,-5.04
2025-02-26T00:00,-0.75
2025-02-26T08:00,1.68
2025-02-26T16:00,5.78
2025-02-27T00:00,3.86
2025-02-27T08:00,5.25
2025-02-27T16:00,5.12
2025-02-28T00:00,-0.17
2025-02-28T08:00,4.92
2025-02-28T16:00,4.3
2025-03-01T00:00,4.0
2025-03-01T08:00,4.92
2025-03-01T16:00,2.3
2025-03-02T00:00,1.82
2025-03-02T08:00,6.12
2025-03-02T16:00,7.01
2025-03-03T00:00,3.14
2025-03-03T08:00,5.71
2025-03-03T16:00,-5.0
2025-03-04T00:00,-9.01
2025-03-04T08:00,-3.22
2025-03-04T16:00,3.26
2025-03-05T00:00,0.45
2025-03-05T08:00,3.05
2025-03-05T16:00,5.01
2025-03-06T00:00,6.16
2025-03-06T08:00,5.97
2025-03-06T16:00,2.62
2025-03-07T00:00,6.68
2025-03-07T08:00,4.01
2025-03-07T16:00,-1.75
2025-03-08T00:00,5.23
2025-03-08T08:00,6.04
2025-03-08T16:00,1.64
2025-03-09T00:00,1.68
2025-03-09T08:00,-2.94
2025-03-09T16:00,-14.17
2025-03-10T00:00,5.05
2025-03-10T08:00,4.24
2025-03-10T16:00,0.55
2025-03-11T00:00,1.07
2025-03-11T08:00,0.03
2025-03-11T16:00,4.36
2025-03-12T00:00,-1.67
2025-03-12T08:00,-5.57
2025-03-12T16:00,-2.21
2025-03-13T00:00,-11.83
2025-03-13T08:00,-0.17
2025-03-13T16:00,0.63
2025-03-14T00:00,2.77
2025-03-14T08:00,1.66
2025-03-14T16:00,-1.17
2025-03-15T00:00,-1186.48
2025-03-15T08:00,-191.8
2025-03-15T16:00,-174.9
2025-03-16T00:00,-443.37
2025-03-16T08:00,-83.66
2025-03-16T16:00,-69.51
2025-03-17T00:00,-183.48
2025-03-17T08:00,-87.6
2025-03-17T16:00,-65.04
2025-03-18T00:00,-93.13
2025-03-18T08:00,-61.41
2025-03-18T16:00,-38.15
2025-03-19T00:00,-31.9
2025-03-19T08:00,-11.18
2025-03-19T16:00,-7.45
2025-03-20T00:00,-10.23
2025-03-20T08:00,-33.29
2025-03-20T16:00,-26.94
2025-03-21T00:00,-224.57
2025-03-21T08:00,-40.61
2025-03-21T16:00,-44.8
2025-03-22T00:00,-43.49
2025-03-22T08:00,-51.81
2025-03-22T16:00,-37.97
2025-03-23T00:00,-16.78
2025-03-23T08:00,-4.93
2025-03-23T16:00,-25.18
2025-03-24T00:00,-38.4
2025-03-24T08:00,-14.98
2025-03-24T16:00,-3.14
2025-03-25T00:00,-5.11
2025-03-25T08:00,-19.28
2025-03-25T16:00,-6.6
2025-03-26T00:00,-10.83
2025-03-26T08:00,-14.75
2025-03-26T16:00,-21.28
2025-03-27T00:00,-17.11
2025-03-27T08:00,-39.48
2025-03-27T16:00,-41.29
2025-03-28T00:00,-16.72
2025-03-28T08:00,-1.35
2025-03-28T16:00,-5.6
2025-03-29T00:00,-0.62
2025-03-29T08:00,-6.16
2025-03-29T16:00,-8.52
2025-03-30T00:00,-32.72
2025-03-30T08:00,-24.53
2025-03-30T16:00,-17.76
2025-03-31T00:00,-94.48
2025-03-31T08:00,-34.82
2025-03-31T16:00,-37.89
2025-04-01T00:00,-28.06
2025-04-01T08:00,-8.25
2025-04-01T16:00,-13.09
2025-04-02T00:00,-15.64
2025-04-02T08:00,-7.81
2025-04-02T16:00,0.9
2025-04-03T00:00,-4.27
2025-04-03T08:00,-2.93
2025-04-03T16:00,3.83
2025-04-04T00:00,2.75
2025-04-04T08:00,7.25
2025-04-04T16:00,5.55
2025-04-05T00:00,2.73
2025-04-05T08:00,2.54
2025-04-05T16:00,6.87
2025-04-06T00:00,2.13
